shop_license_no,establishment_name,owner_name_masked,address,district,pin_code,registration_date,renewal_due_date,employee_count,status,phone,pan_hash,gstin_hash,source_record_id,entity_id_ground_truth
KAR-SHOP-BLRR-2024-000095,Lakshmi Pharma Works,Managing Partner,"#147, B Extension, Bagalur, B'luru Rural, K'taka - 562157",Bengaluru Rural,562157,2024-10-16,2027-10-16,12,ACTIVE,,,,KAR-SHOP-BLRR-2024-000095,ENT-00142
KAR-SHOP-BLRU-2022-000096,Siddhi Pvt Ltd,,"No 57, Shed 1st Crs, Jayanagar, Bengaluru Urban, KA - 560078",Bengaluru Urban,560078,2022-07-15,2027-07-14,36,DORMANT,9001132554,PAN_E7BA1C541B523007,GSTIN_28F1CEE0CCF48D1F,KAR-SHOP-BLRU-2022-000096,ENT-00143
KAR-SHOP-BLRU-2016-000097,Varun Meals Solutions,Owner B,"50, Plot Industrial Layout, Yelahanka, B'luru Urban, KA - 560064",Bengaluru Urban,560064,2016-07-27,2017-07-27,4,CLOSED,9001140473,,,KAR-SHOP-BLRU-2016-000097,ENT-00144
KAR-SHOP-BLRU-2022-000098,Veda Wors,Managing Partner,"#37, C Sector, Bannerghatta Road, Bangalore Urban, Karnataka - 560076",Bengaluru Urban,560076,2022-07-30,2027-07-29,25,CLOSED,,PAN_AFC8094B4CA9D821,,KAR-SHOP-BLRU-2022-000098,ENT-00145
KAR-SHOP-BLRU-2020-000099,M/S Vijaya Tools Solutions,Managing Partner,"No. 219, Plot Sector, Banashankari, B'luru Urban, K'taka - 560085",Bengaluru Urban,560085,2020-11-05,2025-11-04,36,CLOSED,,PAN_2A326CE9B95887B7,,KAR-SHOP-BLRU-2020-000099,ENT-00148
KAR-SHOP-BLRU-2022-000100,Udupi Pharma Works,Managing Partner,"No. 293, Plot Service Road, Whitefield Mn Rd, Bangalore Urban, KA",Bengaluru Urban,560034,2022-04-14,2023-04-14,36,DORMANT,,,,KAR-SHOP-BLRU-2022-000100,ENT-00149
KAR-SHOP-BLRU-2021-000101,Meghana Machining Works,Director Masked,"#182, B Main Rd, Whitefield Main Rd, Bangalore Urban, Karnataka - 560066",Bengaluru Urban,560066,2021-12-19,2022-12-19,10,ACTIVE,,PAN_0192D2CF32EDE07B,,KAR-SHOP-BLRU-2021-000101,ENT-00152
KAR-SHOP-BLRU-2023-000102,Sahana Kitchen Solutions,Director Masked,"#223, B Industrial Layout, Peenya Industrial Estate, B'luru Urban, KA",Bengaluru Urban,560058,2023-02-08,2024-02-08,,DORMANT,,PAN_940AFB831AD7678B,GSTIN_769BF5CF37091846,KAR-SHOP-BLRU-2023-000102,ENT-00153
KAR-SHOP-BLRU-2016-000103,Navya Trans Co,Partner 1,"No 106, A 1st Cross, Kalyan Nagar, Bangalore Urban, Karnataka - 560043",Bengaluru Urban,560043,2016-11-23,2019-11-23,3,DORMANT,9001219663,PAN_D4524C092CF0FE77,,KAR-SHOP-BLRU-2016-000103,ENT-00154
KAR-SHOP-BLRU-2023-000104,Mysore Industries,Managing Partner,"No 23, Near Bus Stop, Banashankari, Bengaluru Urban, Karnataka - 560085",Bengaluru Urban,560085,2023-04-27,2026-04-26,,DORMANT,9001235501,,,KAR-SHOP-BLRU-2023-000104,ENT-00156
KAR-SHOP-BLRU-2015-000105,Naveen Coatings Co,,"154, A Behind Metro, Rajajinagar Industrial Suburb, B'luru Urban, Karnataka - 560059",Bengaluru Urban,560059,2015-09-24,2018-09-23,,CLOSED,,,,KAR-SHOP-BLRU-2015-000105,ENT-00157
KAR-SHOP-TUM-2020-000106,Srinidhi Bites Co,,"#250, Plot Main Road, Antharasanahalli Indl Area, Tumakuru, K'taka - 572106",Tumakuru,572106,2020-10-21,2023-10-21,12,DORMANT,,,,KAR-SHOP-TUM-2020-000106,ENT-00160
KAR-SHOP-BLRU-2017-000107,Bangalore Apparels Enterprises,Director Masked,"No 61, D Behind Metro, Yelahanka, Bangalore Urban, Karnataka",Bengaluru Urban,560064,2017-08-19,2022-08-18,10,CLOSED,9001275096,,,KAR-SHOP-BLRU-2017-000107,ENT-00161
KAR-SHOP-BLRU-2025-000108,M/S Ananya CNC LLP,Managing Partner,"No. 279, Main Road, Whitefield, Bengaluru Urban, KA - 560037",Bengaluru Urban,560037,2025-04-21,2030-04-20,52,ACTIVE,9001283015,PAN_B48DAB13DA2391E4,,KAR-SHOP-BLRU-2025-000108,ENT-00162
KAR-SHOP-BLRR-2020-000109,Asha Clinic Solutions,Owner B,"231, Shed Near Bus Stop, Hoskote, Bangalore Rural, KA - 562114",Bengaluru Rural,562114,2020-07-02,2025-07-01,,CLOSED,9001290934,,,KAR-SHOP-BLRR-2020-000109,ENT-00163
KAR-SHOP-BLRU-2022-000110,M/S Sahana Kitchen Solutions,Director Masked,"#49, C 2nd Main, Peenya Industrial Estate, Bangalore Urban, Karnataka - 560058",Bengaluru Urban,560058,2022-11-15,2023-11-15,,CLOSED,9001298853,PAN_803503E53FF5E31D,,KAR-SHOP-BLRU-2022-000110,ENT-00164
KAR-SHOP-BLRR-2015-000111,M/SVarun Dine Company,Managing Partner,"#101, A Service Road, Devanahalli, Bangalore Rural, K'taka - 562110",Bengaluru Rural,562110,2015-05-02,2018-05-01,,CLOSED,9001306772,,,KAR-SHOP-BLRR-2015-000111,ENT-00165
KAR-SHOP-BLRU-2025-000112,Sharma Electronics Solutions,Owner A,"No 75, C Behind Metro, MG Road, Bangalore Urban, Karnataka",Bengaluru Urban,560001,2025-01-26,2026-01-26,,ACTIVE,9001314691,,GSTIN_548155C09F71AF1A,KAR-SHOP-BLRU-2025-000112,ENT-00166
KAR-SHOP-BLRR-2020-000113,Ganesh Kitchen LLP,Owner B,"#166, A 3rd Phase, Devanahalli, Bengaluru Rural, K'taka - 562110",Bengaluru Rural,562110,2020-07-10,2025-07-09,3,DORMANT,,PAN_0FFB79AD5EBE17FE,,KAR-SHOP-BLRR-2020-000113,ENT-00168
KAR-SHOP-BLRU-2018-000114,Bharath Spices LLP,Owner A,"#172, D 2nd Main, Whitefield Mn Rd, B'luru Urban, Karnataka - 560066",Bengaluru Urban,560066,2018-06-10,2019-06-10,4,CLOSED,9001346367,,,KAR-SHOP-BLRU-2018-000114,ENT-00170
KAR-SHOP-TUM-2017-000115,Vijaya Fashions Works,Owner A,"No 16, Shed Extension, Antharasanahalli Industrial Area, Tumakuru, K'taka - 572106",Tumakuru,572106,2017-09-05,2018-09-05,,CLOSED,9001354286,,,KAR-SHOP-TUM-2017-000115,ENT-00171
KAR-SHOP-BLRU-2024-000116,M/S Asha Solutions,Owner B,"No. 145, D Mn Rd, Hebbal, B'luru Urban, KA - 560024",Bengaluru Urban,560024,2024-09-12,2025-09-12,,DORMANT,,,,KAR-SHOP-BLRU-2024-000116,ENT-00172
KAR-SHOP-BLRU-2017-000117,Bharath Medical Solutions,Director Masked,"154, Plot 2nd Main, Bommanahalli, Bengaluru Urban, K'taka - 560068",Bengaluru Urban,560068,2017-02-03,2020-02-03,10,CLOSED,,,,KAR-SHOP-BLRU-2017-000117,ENT-00174
KAR-SHOP-BLRU-2018-000118,Prakruthi LLP,,"No. 199, C Near Bus Stop, Banashankari, B'luru Urban, Karnataka - 560085",Bengaluru Urban,560085,2018-03-15,2021-03-14,,CLOSED,,,,KAR-SHOP-BLRU-2018-000118,ENT-00175
KAR-SHOP-MYS-2017-000119,Srinidhi Health Traders,,"246, A 3rd Phase, Devaraja Mohalla, Mysuru, KA - 570001",Mysuru,570001,2017-03-21,2020-03-20,4,CLOSED,,PAN_952D416D1A8B6D22,,KAR-SHOP-MYS-2017-000119,ENT-00177
KAR-SHOP-MYS-2018-000120,Kaveri Meds Associates,Owner A,"263, C 2nd Main, Nanjangud Road, Mysuru, Karnataka - 570018",Mysuru,570018,2018-04-29,2019-04-29,36,DORMANT,,,,KAR-SHOP-MYS-2018-000120,ENT-00178
KAR-SHOP-BLRU-2018-000121,Sri Pvt. td.,Owner B,"No 207, Plot 1st Cr, HSR Layout, B'luru Urban, KA - 560102",Bengaluru Urban,560102,2018-05-02,2023-05-01,,CLOSED,,,,KAR-SHOP-BLRU-2018-000121,ENT-00182
KAR-SHOP-BLRR-2022-000122,Ravi Agro Associates,Owner A,"No 247, Shed Main Road, Hoskote, Bengaluru Rural, KA - 562114",Bengaluru Rural,562114,2022-11-03,2023-11-03,12,ACTIVE,,,GSTIN_A85500D8880D9924,KAR-SHOP-BLRR-2022-000122,ENT-00183
KAR-SHOP-BLRU-2018-000123,Varun Components LLP,Partner 1,"#221, B Behind Metro, Whitefield Main Rd, Bangalore Urban, Karnataka - 560066",Bengaluru Urban,560066,2018-09-01,2021-08-31,120,CLOSED,,,,KAR-SHOP-BLRU-2018-000123,ENT-00184
KAR-SHOP-MYS-2021-000124,Sharma Pvt. Ltd.,Owner B,"No. 117, C 2nd Main, Nanjangud Road, Mysuru, KA - 570018",Mysuru,570018,2021-02-05,2026-02-04,,CLOSED,9001465152,PAN_53FF0F575981F6E7,,KAR-SHOP-MYS-2021-000124,ENT-00185
KAR-SHOP-BLRU-2015-000125,Nisarga Enterprises,Managing Partner,"No. 143, Mn Rd, MG Road, B'luru Urban, Karnataka - 560001",Bengaluru Urban,560001,2015-07-08,2018-07-07,12,ACTIVE,,,,KAR-SHOP-BLRU-2015-000125,ENT-00186
KAR-SHOP-BLRR-2022-000126,Varun Industries Industries,Partner 1,"155, Shed Near Bus Stop, Doddaballapura, Bengaluru Rural, KA - 561203",Bengaluru Rural,561203,2022-04-28,2027-04-27,120,DORMANT,,,,KAR-SHOP-BLRR-2022-000126,ENT-00187
KAR-SHOP-BLRU-2016-000127,Sahan Apparels Co,Managing Partner,"No. 233, D Behind Metro, Whitefield, B'luru Urban, K'taka - 560037",Bengaluru Urban,560037,2016-06-07,2017-06-07,,DORMANT,9001496828,,,KAR-SHOP-BLRU-2016-000127,ENT-00189
KAR-SHOP-BLRU-2025-000128,Veda Meds Works,Owner A,"163, C Near Bus Stop, Bommanahalli, Bangalore Urban, KA - 560068",Bengaluru Urban,560068,2025-05-20,2030-05-19,2,ACTIVE,9001504747,,,KAR-SHOP-BLRU-2025-000128,ENT-00190
KAR-SHOP-BLRU-2024-000129,M/S Navya Solvents Pvt Ltd,Director Masked,"105, B Service Road, Rajajinagar Industrial Suburb, B'luru Urban, Karnataka",Bengaluru Urban,560059,2024-06-29,2025-06-29,,ACTIVE,,PAN_BA965A612193B3F3,,KAR-SHOP-BLRU-2024-000129,ENT-00192
KAR-SHOP-BLRU-2015-000130,Nisarga Trans Works,Director Masked,"No. 142, A Service Road, Whitefield Mn Rd, Bangalore Urban, K'taka - 560066",Bengaluru Urban,560066,2015-09-16,2018-09-15,10,CLOSED,,PAN_19E3602EC3E7F9DD,,KAR-SHOP-BLRU-2015-000130,ENT-00194
KAR-SHOP-BLRU-2017-000131,Meghana Moulding Indstries,Partner 1,"No 26, B Extension, Peenya Indl Area, Bengaluru Urban, K'taka",Bengaluru Urban,560058,2017-10-08,2022-10-07,180,ACTIVE,,,,KAR-SHOP-BLRU-2017-000131,ENT-00195
KAR-SHOP-BLRU-2016-000132,Sri Foods Company,,"#116, B Extension, Electronic City, Bangalore Urban, Karnataka - 560100",Bengaluru Urban,560100,2016-02-27,2019-02-26,,CLOSED,9001552261,,GSTIN_66BB558DEFC53F1C,KAR-SHOP-BLRU-2016-000132,ENT-00196
KAR-SHOP-BLRR-2018-000133,Sri Moulding Works,Director Masked,"#256, Plot Extension, Bagalur, B'luru Rural, Karnataka - 562157",Bengaluru Rural,562157,2018-05-21,2023-05-20,,CLOSED,,,GSTIN_94AD8B47A12A9F0A,KAR-SHOP-BLRR-2018-000133,ENT-00200
KAR-SHOP-MYS-2022-000134,Harsha Meals Associates,Partner 1,"#175, B 3rd Phase, Nanjangud Road, Mysuru, Karnataka - 570018",Mysuru,570018,2022-01-07,2023-01-07,4,DORMANT,9001591856,,,KAR-SHOP-MYS-2022-000134,ENT-00201
KAR-SHOP-BLRU-2022-000135,M/S Veda Agro Co,Partner 1,"No. 125, B Extension, Rajajinagar Industrial Suburb, Bengaluru Urban, Karnataka - 560059",Bengaluru Urban,560059,2022-05-20,2025-05-19,,DORMANT,,PAN_359BBEA1FD8C7255,,KAR-SHOP-BLRU-2022-000135,ENT-00202
KAR-SHOP-BLRU-2024-000136,Nisarga Clinic LLP,Managing Partner,"274, Shed Industrial Layout, Bommanahalli, Bengaluru Urban, KA - 560068",Bengaluru Urban,560068,2024-10-30,2025-10-30,12,ACTIVE,9001615613,PAN_A649BC809A6F8598,GSTIN_A9E08D0BBB6A8FB3,KAR-SHOP-BLRU-2024-000136,ENT-00204
KAR-SHOP-BLRR-2017-000137,Veda Associates,Managing Partner,"No 85, A Extension, Bagalur, Bengaluru Rural, Karnataka - 562157",Bengaluru Rural,562157,2017-08-16,2020-08-15,12,CLOSED,9001631451,,,KAR-SHOP-BLRR-2017-000137,ENT-00206
KAR-SHOP-MYS-2019-000138,M/S Sahana Warehouse Traders,Managing Partner,"88, Industrial Layout, Devaraja Mohalla, Mysuru, K'taka - 570001",Mysuru,570001,2019-05-22,2024-05-20,,DORMANT,,,,KAR-SHOP-MYS-2019-000138,ENT-00208
KAR-SHOP-BLRU-2020-000139,Ananya Circuits Enterprises,Director Masked,"235, 1st Cross, Banashankari, Bengaluru Urban, KA - 560085",Bengaluru Urban,560085,2020-06-30,2025-06-29,5,DORMANT,,PAN_89D177635C352E51,,KAR-SHOP-BLRU-2020-000139,ENT-00209
KAR-SHOP-BLRU-2018-000140,Lakshmi Electronics LLP,Managing Partner,"No 1, C Main Road, Hebbal, B'luru Urban, KA - 560024",Bengaluru Urban,560024,2018-03-01,2019-03-01,,ACTIVE,,,GSTIN_D4B3E439A104BF10,KAR-SHOP-BLRU-2018-000140,ENT-00210
KAR-SHOP-BLRU-2022-000141,Ravi Textiles Company,Owner A,"No 296, D 2nd Main, Hebbal, Bangalore Urban, KA - 560024",Bengaluru Urban,560024,2022-02-05,2023-02-05,,DORMANT,9001678965,,,KAR-SHOP-BLRU-2022-000141,ENT-00212
KAR-SHOP-MYS-2023-000142,Veda Cafe Industries,Director Masked,"No 284, Plot 3rd Phase, Hebbal Industrial Estate, Mysuru, KA - 570016",Mysuru,570016,2023-01-09,2028-01-08,10,DORMANT,9001710641,PAN_0B9ABCD880D1835B,,KAR-SHOP-MYS-2023-000142,ENT-00216
KAR-SHOP-BLRU-2017-000143,Anany Electronics Co,Managing Partner,"292, Mn Rd, BTM Layout, Bengaluru Urban, KA - 560029",Bengaluru Urban,560029,2017-09-22,2022-09-21,36,CLOSED,,,GSTIN_83DB68A080A1D4A6,KAR-SHOP-BLRU-2017-000143,ENT-00218
KAR-SHOP-BLRR-2019-000144,M/S Navya Precision Traders,Managing Partner,"#13, Plot Extension, Bagalur, Bangalore Rural, KA - 562157",Bengaluru Rural,562157,2019-01-20,2020-01-20,2,CLOSED,9001734398,,,KAR-SHOP-BLRR-2019-000144,ENT-00219
KAR-SHOP-BLRU-2021-000145,M/S Lakshmi Works,Director Masked,"No. 72, 2nd Main, Banashankari, Bangalore Urban, K'taka - 560085",Bengaluru Urban,560085,2021-03-19,2024-03-18,2,CLOSED,,,,KAR-SHOP-BLRU-2021-000145,ENT-00221
KAR-SHOP-BLRU-2023-000146,Ganesh Cafe Company,Director Masked,"#104, Extension, Hebbal, Bangalore Urban, KA - 560024",Bengaluru Urban,560024,2023-08-14,2026-08-13,25,DORMANT,,,,KAR-SHOP-BLRU-2023-000146,ENT-00222
KAR-SHOP-MYS-2018-000147,Varun Mold LLP,Partner 1,"19, B Industrial Layout, Hebbal Industrial Estate, Mysuru, KA - 570016",Mysuru,570016,2018-12-05,2021-12-04,180,CLOSED,,,,KAR-SHOP-MYS-2018-000147,ENT-00223
KAR-SHOP-BLRU-2025-000148,M/S Ravi Logistics Solutions,Managing Partner,"No. 228, C Industrial Layout, Bannerghatta Road, B'luru Urban, KA - 560076",Bengaluru Urban,560076,2025-12-31,2028-12-30,85,ACTIVE,9001773993,,,KAR-SHOP-BLRU-2025-000148,ENT-00224
KAR-SHOP-BLRU-2018-000149,Asha Enterprises,Director Masked,"No 274, B 2nd Main, Whitefield, B'luru Urban, KA - 560037",Bengaluru Urban,560037,2018-04-03,2021-04-02,3,CLOSED,,,,KAR-SHOP-BLRU-2018-000149,ENT-00225
KAR-SHOP-BLRU-2015-000150,Kaveri Print Company,Managing Partner,"254, 1st Crs, Rajajinagar Industrial Suburb, Bengaluru Urban, Karnataka - 560059",Bengaluru Urban,560059,2015-05-10,2016-05-09,2,CLOSED,,,,KAR-SHOP-BLRU-2015-000150,ENT-00228
KAR-SHOP-BLRR-2018-000151,Kaveri Meds Pv Ltd,,"No. 8, Plot Behind Metro, Bagalur, Bangalore Rural, Karnataka - 562157",Bengaluru Rural,562157,2018-06-15,2021-06-14,,CLOSED,,PAN_816459A08C7ADBAE,,KAR-SHOP-BLRR-2018-000151,ENT-00230
KAR-SHOP-TUM-2025-000152,M/S Veda LLP,Director Masked,"No. 243, Plot 3rd Phase, BH Road, Tumakuru, KA - 572101",Tumakuru,572101,2025-10-29,2026-10-29,120,ACTIVE,,PAN_683001A870C92F4E,,KAR-SHOP-TUM-2025-000152,ENT-00231
KAR-SHOP-BLRU-2021-000153,M/S Prakrthi Biryani Solutions,Partner 1,"#202, B Behind Metro, Yelahanka, B'luru Urban, KA - 560064",Bengaluru Urban,560001,2021-03-03,2022-03-03,,ACTIVE,,,GSTIN_5E35136DA83447D1,KAR-SHOP-BLRU-2021-000153,ENT-00234
KAR-SHOP-BLRU-2023-000154,Sahana Industries,,"149, B Main Road, Bannerghatta Road, Bangalore Urban, KA - 560076",Bengaluru Urban,560076,2023-11-21,2028-11-19,12,ACTIVE,,,,KAR-SHOP-BLRU-2023-000154,ENT-00235
KAR-SHOP-BLRU-2023-000155,M/S Bharath Cargo Pvt Ltd,Owner B,"#196, B Service Road, Koramangala, B'luru Urban, K'taka - 560034",Bengaluru Urban,560034,2023-08-05,2026-08-04,12,DORMANT,9001869021,,,KAR-SHOP-BLRU-2023-000155,ENT-00236
KAR-SHOP-BLRU-2015-000156,Sharma Print Enterprises,,"#221, B Near Bus Stop, Banashankari, B'luru Urban, K'taka - 560085",Bengaluru Urban,560085,2015-03-11,2020-03-09,4,CLOSED,9001876940,,,KAR-SHOP-BLRU-2015-000156,ENT-00237
KAR-SHOP-BLRU-2019-000157,Kaveri Components Enterprises,Director Masked,"No. 221, B Extension, Jayanagar, B'luru Urban, K'taka - 560078",Bengaluru Urban,560078,2019-03-20,2022-03-19,5,CLOSED,9001884859,,,KAR-SHOP-BLRU-2019-000157,ENT-00238
KAR-SHOP-TUM-2019-000158,Aditya Labels nterprises,,"296, Shed Behind Metro, BH Road, Tumakuru, KA - 572101",Tumakuru,572101,2019-11-22,2020-11-21,180,CLOSED,9001892778,,,KAR-SHOP-TUM-2019-000158,ENT-00239
KAR-SHOP-MYS-2021-000159,M/S Sahana Industries Co,,"299, Mn Rd, Nanjangud Road, Mysuru, K'taka - 570018",Mysuru,570018,2021-07-21,2026-07-20,8,DORMANT,9001900697,,,KAR-SHOP-MYS-2021-000159,ENT-00240
KAR-SHOP-BLRU-2023-000160,Mysore Biryani Associates,Owner B,"No. 96, D 2nd Main, Whitefield Main Road, Bangalore Urban, K'taka",Bengaluru Urban,560066,2023-09-24,2028-09-22,85,DORMANT,,,GSTIN_B7D0C5B514E96A62,KAR-SHOP-BLRU-2023-000160,ENT-00241
KAR-SHOP-BLRU-2018-000161,Naveen LLP,Managing Partner,"No. 214, Plot 3rd Phase, Rajajinagar Industrial Suburb, B'luru Urban, K'taka - 560059",Bengaluru Urban,560059,2018-03-04,2019-03-04,8,DORMANT,9001932373,,,KAR-SHOP-BLRU-2018-000161,ENT-00244
KAR-SHOP-BLRR-2022-000162,M/S Kaveri Associates,Owner B,"12, B Sector, Devanahalli, B'luru Rural, Karnataka - 562110",Bengaluru Rural,562110,2022-04-13,2027-04-12,10,CLOSED,9001956130,,GSTIN_FA7564FF5CAF8A2C,KAR-SHOP-BLRR-2022-000162,ENT-00247
KAR-SHOP-BLRU-2022-000163,M/S Deccan Precision Co,Partner 1,"No. 182, C Service Road, Whitefield Mn Rd, Bangalore Urban, K'taka - 560066",Bengaluru Urban,560066,2022-11-17,2025-11-16,36,DORMANT,,,,KAR-SHOP-BLRU-2022-000163,ENT-00249
KAR-SHOP-BLRU-2019-000164,Aarohi Graphics Solutions,Owner A,"#103, C 3rd Phase, Yelahanka, Bengaluru Urban, K'taka - 560064",Bengaluru Urban,560064,2019-01-28,2024-01-27,,CLOSED,,PAN_D8F6EEA1263F3207,,KAR-SHOP-BLRU-2019-000164,ENT-00250
KAR-SHOP-BLRU-2015-000165,Prakruthi Clinic Pvt Ltd,,"#125, B Behind Metro, HSR Layout, Bangalore Urban, K'taka - 560102",Bengaluru Urban,560102,2015-04-25,2016-04-24,,DORMANT,,,,KAR-SHOP-BLRU-2015-000165,ENT-00251
KAR-SHOP-BLRU-2023-000166,Sree Pharma Pvt. Ltd.,Director Masked,"No 275, B 3rd Phase, Bommanahalli, Bangalore Urban, Karnataka - 560068",Bengaluru Urban,560068,2023-09-25,2028-09-23,,ACTIVE,9001995725,PAN_A12F2782E8476B91,,KAR-SHOP-BLRU-2023-000166,ENT-00252
KAR-SHOP-BLRR-2020-000167,Bangalore LLP,Director Masked,"227, A Service Road, Doddaballapura, Bengaluru Rural, K'taka - 561203",Bengaluru Rural,561203,2020-12-29,2021-12-29,,CLOSED,,,,KAR-SHOP-BLRR-2020-000167,ENT-00253
KAR-SHOP-MYS-2021-000168,M/S Srinidhi LLP,Director Masked,"No 267, Shed Near Bus Stop, Hebbal Industrial Estate, Mysuru, KA - 570016",Mysuru,570016,2021-05-31,2026-05-30,25,CLOSED,9002011563,,,KAR-SHOP-MYS-2021-000168,ENT-00254
KAR-SHOP-BLRR-2017-000169,Navya Mold LLP,Owner A,"No. 234, B 1st Crs, Hoskote, Bangalore Rural, Karnataka - 562114",Bengaluru Rural,562114,2017-03-14,2020-03-13,18,CLOSED,9002027401,,GSTIN_12CF1990531B95DB,KAR-SHOP-BLRR-2017-000169,ENT-00256
KAR-SHOP-BLRU-2020-000170,Siddhi Enteprises,,"No 73, Plot Sector, Yelahanka, Bangalore Urban, Karnataka - 560064",Bengaluru Urban,560064,2020-03-13,2025-03-12,25,DORMANT,9002035320,,GSTIN_1389FA7B5268E156,KAR-SHOP-BLRU-2020-000170,ENT-00257
KAR-SHOP-BLRU-2016-000171,Veda Logistics Works,,"No. 252, B 3rd Phase, Bannerghatta Road, B'luru Urban, Karnataka - 560076",Bengaluru Urban,560076,2016-03-03,2021-03-02,10,DORMANT,,,GSTIN_DCBB50607CDF747B,KAR-SHOP-BLRU-2016-000171,ENT-00259
KAR-SHOP-BLRU-2018-000172,M/S Siddhi Packaging Enterprises,,"#180, Plot Main Rd, Whitefield Main Rd, Bengaluru Urban, KA - 560066",Bengaluru Urban,560066,2018-01-27,2021-01-26,4,CLOSED,9002059077,,,KAR-SHOP-BLRU-2018-000172,ENT-00260
KAR-SHOP-BLRU-2023-000173,Veda Print Enterprises,Managing Partner,"No. 4, B Near Bus Stop, BTM Layout, B'luru Urban, K'taka - 560029",Bengaluru Urban,560001,2023-09-25,2026-09-24,25,DORMANT,,,,KAR-SHOP-BLRU-2023-000173,ENT-00261
KAR-SHOP-BLRR-2019-000174,Meghana Spices LLP,,"No 102, Industrial Layout, Hoskote, Bangalore Rural, KA",Bengaluru Rural,562114,2019-10-06,2024-10-04,,DORMANT,9002074915,,,KAR-SHOP-BLRR-2019-000174,ENT-00262
KAR-SHOP-MYS-2023-000175,Aditya Polymers Associates,Owner A,"95, Plot Main Road, Devaraja Mohalla, Mysuru, KA - 570001",Mysuru,570001,2023-07-26,2028-07-24,36,DORMANT,9002082834,PAN_C84986319AF8A1A5,,KAR-SHOP-MYS-2023-000175,ENT-00263
KAR-SHOP-BLRU-2016-000176,Sree Print Co,Owner B,"#106, A Behind Metro, HSR Layout, Bengaluru Urban, Karnataka - 560102",Bengaluru Urban,560102,2016-05-14,2021-05-13,18,DORMANT,9002106591,,,KAR-SHOP-BLRU-2016-000176,ENT-00266
KAR-SHOP-BLRU-2019-000177,Vijaya Moulding Solutions,Director Masked,"No 117, Sector, Whitefield Main Rd, Bangalore Urban, K'taka - 560066",Bengaluru Urban,560066,2019-06-09,2020-06-08,4,DORMANT,9002122429,,,KAR-SHOP-BLRU-2019-000177,ENT-00268
KAR-SHOP-BLRU-2018-000178,Nisarga Printers Pvt Ltd,Director Masked,"No. 209, B 1st Cross, Whitefield Main Rd, B'luru Urban, KA - 560066",Bengaluru Urban,560066,2018-10-07,2019-10-07,5,DORMANT,,PAN_BD3CC4878CF1AE19,,KAR-SHOP-BLRU-2018-000178,ENT-00269
KAR-SHOP-BLRU-2023-000179,Ananya Cafe Enterprises,Owner A,"#244, Shed 3rd Phase, Peenya Industrial Estate, Bengaluru Urban, Karnataka - 560058",Bengaluru Urban,560058,2023-09-29,2024-09-28,5,DORMANT,9002138267,,GSTIN_732F51C60619B150,KAR-SHOP-BLRU-2023-000179,ENT-00270
KAR-SHOP-BLRU-2017-000180,M/S Bangalore Traders,Owner B,"#249, A Industrial Layout, Whitefield Main Road, Bangalore Urban, KA - 560066",Bengaluru Urban,560034,2017-06-21,2022-06-20,5,DORMANT,,PAN_60CD925D0E1297DD,,KAR-SHOP-BLRU-2017-000180,ENT-00271
KAR-SHOP-BLRU-2018-000181,Ganesh Care Company,Owner B,"No. 290, B 3rd Phase, Koramangala, Bangalore Urban, Karnataka - 560034",Bengaluru Urban,560034,2018-06-28,2023-06-27,3,CLOSED,9002154105,,GSTIN_89EF8077A26C36F1,KAR-SHOP-BLRU-2018-000181,ENT-00272
KAR-SHOP-BLRU-2019-000182,Mysore Industries,Partner 1,"No 8, Plot Near Bus Stop, Kalyan Nagar, Bangalore Urban, K'taka - 560043",Bengaluru Urban,560043,2019-05-18,2022-05-17,52,DORMANT,,,,KAR-SHOP-BLRU-2019-000182,ENT-00273
KAR-SHOP-BLRR-2016-000183,M/S Omkar Cafe Industries,Managing Partner,"#289, B 3rd Phase, Hoskote, Bengaluru Rural, Karnataka - 562114",Bengaluru Rural,562114,2016-05-22,2021-05-21,120,CLOSED,,,,KAR-SHOP-BLRR-2016-000183,ENT-00274
KAR-SHOP-TUM-2025-000184,Harsha Works,Owner A,"No. 282, D Extension, Antharasanahalli Industrial Area, Tumakuru, Karnataka - 572106",Tumakuru,572106,2025-04-13,2026-04-13,5,ACTIVE,,,,KAR-SHOP-TUM-2025-000184,ENT-00275
KAR-SHOP-BLRU-2025-000185,Omkar Mold Taders,Managing Partner,"#60, A 1st Cross, BTM Layout, Bengaluru Urban, K'taka - 560029",Bengaluru Urban,560029,2025-12-26,2030-12-25,12,ACTIVE,,PAN_3C7D032D6079014B,,KAR-SHOP-BLRU-2025-000185,ENT-00276
KAR-SHOP-BLRU-2017-000186,Bharath Clinic Associates,Owner B,"No. 152, Shed 3rd Phase, Whitefield, Bengaluru Urban, Karnataka - 560037",Bengaluru Urban,560037,2017-01-10,2022-01-09,10,ACTIVE,,,GSTIN_B84409F57141E58D,KAR-SHOP-BLRU-2017-000186,ENT-00277
KAR-SHOP-BLRU-2023-000187,Asha CNC LLP,Partner 1,"No. 90, A Industrial Layout, Kalyan Nagar, Bangalore Urban, K'taka - 560043",Bengaluru Urban,560043,2023-03-01,2028-02-28,,DORMANT,,,,KAR-SHOP-BLRU-2023-000187,ENT-00278
