factory_license_no,factory_name,occupier_name_masked,factory_address,district,pin_code,industry_type,nic_code,workers_count,registration_year,last_inspection_date,status,pan_hash,gstin_hash,source_record_id,entity_id_ground_truth
KFBIS-FAC-BLRU-2016-000089,M/S Nisarga Entp,Managing Partner,"No. 143, Mn Rd, MG Road, Bangalore Urban, Karnataka - 560001",Bengaluru Urban,560064,Textile / Garments,1410,,2016,2023-12-20,DORMANT,PAN_EFC12353CD271A6C,,KFBIS-FAC-BLRU-2016-000089,ENT-00186
KFBIS-FAC-BLRU-2025-000090,Lakshmi Solvents Company,Partner 1,"No. 278, Extension, BTM Layout, Bengaluru Urban, KA - 560029",Bengaluru Urban,560029,Chemical Blending,2029,18,2025,2025-08-22,ACTIVE,PAN_068348B7FFFBEC72,,KFBIS-FAC-BLRU-2025-000090,ENT-00188
KFBIS-FAC-BLRU-2020-000091,Sahna Apparels Co,,"No. 233, D Behind Metro, Whitefield, Bangalore Urban, Karnataka",Bengaluru Urban,560037,Textile / Garments,1410,4,2020,2022-02-05,CLOSED,,,KFBIS-FAC-BLRU-2020-000091,ENT-00189
KFBIS-FAC-BLRU-2021-000092,Navya Solvents Pvt Ltd,Managing Partner,"105, B Service Road, Rajajinagar Industrial Suburb, B'luru Urban, Karnataka - 560059",Bengaluru Urban,560059,Chemical Blending,2029,,2021,2024-10-05,DORMANT,,,KFBIS-FAC-BLRU-2021-000092,ENT-00192
KFBIS-FAC-BLRU-2015-000093,Meghana Moulding Inds,Director Masked,"No 26, B Extension, Peenya Industrial Estate, B'luru Urban, KA - 560058",Bengaluru Urban,560058,Plastic Moulding,2220,,2015,2022-05-22,CLOSED,,,KFBIS-FAC-BLRU-2015-000093,ENT-00195
KFBIS-FAC-BLRU-2024-000094,M/S Sr Foods Company,Owner A,"No. 116, B Extension, Electronic City, B'luru Urban, Karnataka - 560100",Bengaluru Urban,560100,Food Processing,1030,,2024,2025-02-21,DORMANT,PAN_5A084B2D7EF42452,GSTIN_66BB558DEFC53F1C,KFBIS-FAC-BLRU-2024-000094,ENT-00196
KFBIS-FAC-BLRR-2024-000095,Udupi Eectronics LLP,Director Masked,"#192, C Industrial Layout, Devanahalli, B'luru Rural, K'taka - 562110",Bengaluru Rural,562110,Electronics Assembly,2610,3,2024,2026-04-24,ACTIVE,,,KFBIS-FAC-BLRR-2024-000095,ENT-00199
KFBIS-FAC-BLRR-2017-000096,Sri Moulding Works,Partner 1,"No 256, Plot Extension, Bagalur, Bangalore Rural, Karnataka - 562157",Bengaluru Rural,562157,Plastic Moulding,2220,4,2017,2019-12-29,CLOSED,PAN_BE42AD4FEE81560A,,KFBIS-FAC-BLRR-2017-000096,ENT-00200
KFBIS-FAC-MYS-2020-000097,Aarohi Solutions,Owner A,"No. 17, A 1st Crs, Hebbal Indl Area, Mysuru, K'taka - 570016",Mysuru,570016,Food Processing,1030,,2020,2025-10-24,ACTIVE,,,KFBIS-FAC-MYS-2020-000097,ENT-00205
KFBIS-FAC-BLRR-2021-000098,Veda Associates,Owner B,"#85, A Extension, Bagalur, B'luru Rural, Karnataka",Bengaluru Rural,562157,Machine Tools,2819,,2021,2025-10-22,ACTIVE,,,KFBIS-FAC-BLRR-2021-000098,ENT-00206
KFBIS-FAC-BLRU-2025-000099,Ananya Resins Industries,Owner A,"No 53, D Service Road, Yelahanka, Bangalore Urban, Karnataka - 560064",Bengaluru Urban,560064,Chemical Blending,2029,,2025,2026-03-30,ACTIVE,PAN_B49090A1574D2902,GSTIN_E5B0444A3946F106,KFBIS-FAC-BLRU-2025-000099,ENT-00215
KFBIS-FAC-BLRU-2018-000100,M/S Siddhi Industries,Owner A,"135, Near Bus Stop, BTM Layout, B'luru Urban, Karnataka - 560029",Bengaluru Urban,560043,Chemical Blending,2029,2,2018,2024-12-27,DORMANT,PAN_B5A69475EBF0A3B0,,KFBIS-FAC-BLRU-2018-000100,ENT-00217
KFBIS-FAC-BLRR-2023-000101,Navya Precision Traders,,"No 13, Plot Extension, Bagalur, Bengaluru Rural, K'taka - 562157",Bengaluru Rural,562157,Machine Tools,2819,2,2023,2024-05-04,DORMANT,,,KFBIS-FAC-BLRR-2023-000101,ENT-00219
KFBIS-FAC-BLRU-2018-000102,Lakshmi Works,Partner 1,"#72, 2nd Main, Banashankari, Bangalore Urban, Karnataka - 560085",Bengaluru Urban,560085,Logistics / Warehouse,5210,2,2018,2023-04-24,CLOSED,,GSTIN_05CB7EE648B8D6C7,KFBIS-FAC-BLRU-2018-000102,ENT-00221
KFBIS-FAC-MYS-2015-000103,Varun Mold LLP,Partner 1,"No. 19, B Industrial Layout, Hebbal Industrial Estate, Mysuru, Karnataka - 570016",Mysuru,570016,Plastic Moulding,2220,180,2015,2025-01-14,DORMANT,,,KFBIS-FAC-MYS-2015-000103,ENT-00223
KFBIS-FAC-BLRU-2025-000104,Kaveri Print Company,Owner B,"No. 254, 1st Cr, Rajajinagar Industrial Suburb, B'luru Urban, KA - 560059",Bengaluru Urban,560059,Printing / Packaging,1811,2,2025,2026-04-05,ACTIVE,PAN_60A912FAABF10F02,,KFBIS-FAC-BLRU-2025-000104,ENT-00228
KFBIS-FAC-BLRR-2024-000105,Aditya Tech Enterprises,Director Masked,"No 150, C 1st Cross, Bagalur, Bangalore Rural, Karnataka",Bengaluru Rural,562157,Electronics Assembly,2610,4,2024,2025-06-05,ACTIVE,,,KFBIS-FAC-BLRR-2024-000105,ENT-00232
KFBIS-FAC-TUM-2018-000106,M/S Aditya Labels Enterprises,Director Masked,"#296, Shed Behind Metro, BH Road, Tumakuru, K'taka - 572101",Tumakuru,572101,Printing / Packaging,1811,180,2018,2020-06-04,CLOSED,,,KFBIS-FAC-TUM-2018-000106,ENT-00239
KFBIS-FAC-MYS-2022-000107,Sahana Industries Co,Owner A,"299, Main Rd, Nanjangud Road, Mysuru, K'taka - 570018",Mysuru,570018,Machine Tools,2819,8,2022,2025-10-17,ACTIVE,,,KFBIS-FAC-MYS-2022-000107,ENT-00240
KFBIS-FAC-BLRU-2024-000108,Sharma Moulding ndustries,Owner A,"No 106, C Extension, MG Road, Bangalore Urban, K'taka - 560001",Bengaluru Urban,560001,Plastic Moulding,2220,3,2024,2024-12-10,DORMANT,PAN_204F0D5092A8347D,,KFBIS-FAC-BLRU-2024-000108,ENT-00243
KFBIS-FAC-BLRR-2023-000109,Sharma Coatings Pvt Ltd,,"No 200, D Behind Metro, Bagalur, Bengaluru Rural, Karnataka - 562157",Bengaluru Rural,562157,Chemical Blending,2029,12,2023,2024-07-23,CLOSED,,,KFBIS-FAC-BLRR-2023-000109,ENT-00245
KFBIS-FAC-BLRU-2021-000110,Ananya Labs Entp,Owner B,"11, C Near Bus Stop, Banashankari, B'luru Urban, KA - 560085",Bengaluru Urban,560085,Machine Tools,2819,180,2021,2023-09-25,DORMANT,,GSTIN_0ACDED13D63CA460,KFBIS-FAC-BLRU-2021-000110,ENT-00246
KFBIS-FAC-BLRU-2017-000111,M/S Veda Precision Company,Owner A,"No 268, D 1st Cross, Peenya Industrial Area, B'luru Urban, Karnataka - 560058",Bengaluru Urban,560058,Machine Tools,2819,3,2017,2019-11-14,CLOSED,,GSTIN_FB130C3561A751D6,KFBIS-FAC-BLRU-2017-000111,ENT-00248
KFBIS-FAC-BLRU-2016-000112,Deccan Precision Co,Managing Partner,"182, C Service Road, Whitefield Main Rd, Bangalore Urban, Karnataka - 560066",Bengaluru Urban,560066,Machine Tools,2819,36,2016,2020-11-29,CLOSED,,,KFBIS-FAC-BLRU-2016-000112,ENT-00249
KFBIS-FAC-BLRU-2021-000113,M/S Sharma LLP,Owner A,"190, Plot Industrial Layout, Peenya Indl Area, Bangalore Urban, K'taka - 560058",Bengaluru Urban,560058,Food Processing,1030,,2021,2024-12-25,DORMANT,,,KFBIS-FAC-BLRU-2021-000113,ENT-00255
KFBIS-FAC-BLRR-2021-000114,Navya Mold LLP,Managing Partner,"No. 234, B 1st Cross, Hoskote, Bangalore Rural, Karnataka - 562114",Bengaluru Rural,562114,Plastic Moulding,2220,,2021,2021-09-04,CLOSED,,,KFBIS-FAC-BLRR-2021-000114,ENT-00256
KFBIS-FAC-BLRU-2019-000115,M/S Sidhi Entp,Managing Partner,"No 73, Plot Sector, Yelahanka, Bengaluru Urban, Karnataka - 560064",Bengaluru Urban,560064,Logistics / Warehouse,5210,25,2019,2025-07-25,ACTIVE,,,KFBIS-FAC-BLRU-2019-000115,ENT-00257
KFBIS-FAC-BLRU-2020-000116,Vijaya Industries Works,Owner B,"#15, Shed 3rd Phase, Jayanagar, Bengaluru Urban, Karnataka - 560078",Bengaluru Urban,560078,Machine Tools,2819,36,2020,2024-06-01,DORMANT,PAN_C7CA821D673ADC5F,,KFBIS-FAC-BLRU-2020-000116,ENT-00258
KFBIS-FAC-BLRU-2024-000117,Veda Print Enterprises,,"4, B Near Bus Stop, BTM Layout, Bengaluru Urban, K'taka - 560029",Bengaluru Urban,560029,Printing / Packaging,1811,,2024,2025-07-13,ACTIVE,,GSTIN_2E301C8AE1604718,KFBIS-FAC-BLRU-2024-000117,ENT-00261
KFBIS-FAC-MYS-2017-000118,M/S Aditya Polymers Associates,Partner 1,"#95, Plot Main Rd, Devaraja Mohalla, Mysuru, Karnataka - 570001",Mysuru,570001,Plastic Moulding,2220,36,2017,2022-06-25,CLOSED,,GSTIN_1AB7459A556312B2,KFBIS-FAC-MYS-2017-000118,ENT-00263
KFBIS-FAC-BLRU-2016-000119,M/S Veda Coatings Solutions,Owner A,"22, D 2nd Main, Whitefield Main Road, Bangalore Urban, KA - 560066",Bengaluru Urban,560066,Chemical Blending,2029,,2016,2017-03-12,CLOSED,,,KFBIS-FAC-BLRU-2016-000119,ENT-00264
KFBIS-FAC-BLRU-2021-000120,Sree Prin Co,Director Masked,"#106, A Behind Metro, HSR Layout, Bangalore Urban, Karnataka - 560102",Bengaluru Urban,560102,Printing / Packaging,1811,18,2021,2021-10-20,CLOSED,PAN_B5DFDAA871F5A94D,,KFBIS-FAC-BLRU-2021-000120,ENT-00266
KFBIS-FAC-BLRU-2015-000121,Vijaya Moulding Solutions,Partner 1,"No. 117, Sector, Whitefield Main Road, Bangalore Urban, KA - 560066",Bengaluru Urban,560066,Plastic Moulding,2220,4,2015,2026-02-27,ACTIVE,,,KFBIS-FAC-BLRU-2015-000121,ENT-00268
KFBIS-FAC-TUM-2017-000122,Harsha Works,Owner A,"282, D Extension, Antharasanahalli Industrial Estate, Tumakuru, KA - 572106",Tumakuru,572106,Food Processing,1030,,2017,2020-03-25,CLOSED,,,KFBIS-FAC-TUM-2017-000122,ENT-00275
KFBIS-FAC-BLRU-2022-000123,M/S Omkar Mold Traders,Managing Partner,"60, A 1st Cr, BTM Layout, Bangalore Urban, K'taka - 560029",Bengaluru Urban,560029,Plastic Moulding,2220,12,2022,2023-07-02,DORMANT,,,KFBIS-FAC-BLRU-2022-000123,ENT-00276
KFBIS-FAC-BLRU-2021-000124,M/S Asha CNC LLP,Owner B,"#90, A Industrial Layout, Kalyan Nagar, B'luru Urban, K'taka - 560043",Bengaluru Urban,560043,Machine Tools,2819,36,2021,2022-05-24,CLOSED,,,KFBIS-FAC-BLRU-2021-000124,ENT-00278
KFBIS-FAC-MYS-2018-000125,Prakruthi Packaging Eterprises,Director Masked,"No 45, Plot Extension, Devaraja Mohalla, Mysuru, KA - 570001",Mysuru,570001,Printing / Packaging,1811,25,2018,2019-06-17,CLOSED,,GSTIN_BD587EE3AB59DBDB,KFBIS-FAC-MYS-2018-000125,ENT-00284
KFBIS-FAC-BLRU-2022-000126,Harsha Works,Owner A,"No. 274, Plot Sector, Yelahanka, Bengaluru Urban, K'taka - 560064",Bengaluru Urban,560064,Food Processing,1030,5,2022,2025-09-10,ACTIVE,,,KFBIS-FAC-BLRU-2022-000126,ENT-00286
KFBIS-FAC-BLRU-2020-000127,Nandi Moulding Company,Director Masked,"No 200, Shed Industrial Layout, Bannerghatta Road, Bengaluru Urban, Karnataka - 560076",Bengaluru Urban,560076,Plastic Moulding,2220,,2020,2022-04-09,CLOSED,,,KFBIS-FAC-BLRU-2020-000127,ENT-00288
KFBIS-FAC-BLRU-2022-000128,Deccan Tools Traders,Owner B,"#214, B 2nd Main, Bommanahalli, Bengaluru Urban, KA - 560068",Bengaluru Urban,560068,Machine Tools,2819,3,2022,2025-12-04,ACTIVE,,,KFBIS-FAC-BLRU-2022-000128,ENT-00290
KFBIS-FAC-BLRU-2021-000129,Siddhi Works Enterprises,,"No 7, C Mn Rd, Bannerghatta Road, B'luru Urban, K'taka - 560076",Bengaluru Urban,560076,Machine Tools,2819,18,2021,2023-05-04,DORMANT,PAN_340F784F33AB8AE7,,KFBIS-FAC-BLRU-2021-000129,ENT-00293
KFBIS-FAC-BLRR-2020-000130,Nandi Tools Co,Director Masked,"No 158, Industrial Layout, Doddaballapura, B'luru Rural, Karnataka - 561203",Bengaluru Rural,562114,Machine Tools,2819,25,2020,2025-09-21,ACTIVE,,GSTIN_73676B4AA06E0B6F,KFBIS-FAC-BLRR-2020-000130,ENT-00294
KFBIS-FAC-BLRU-2016-000131,M/S Srinidhi Press Works,Owner A,"#262, Industrial Layout, Jayanagar, Bangalore Urban, Karnataka - 560078",Bengaluru Urban,560078,Printing / Packaging,1811,12,2016,2021-05-05,CLOSED,,GSTIN_7FC3774240BCFAB7,KFBIS-FAC-BLRU-2016-000131,ENT-00299
KFBIS-FAC-BLRU-2021-000132,M/S Varun Systems Solutions,,"#165, D Near Bus Stop, Electronic City, Bangalore Urban, Karnataka - 560100",Bengaluru Urban,560100,Electronics Assembly,2610,,2021,2021-12-28,CLOSED,,,KFBIS-FAC-BLRU-2021-000132,ENT-00300
KFBIS-FAC-BLRU-2020-000133,Nandi Moulding Company,Owner A,"#170, B Near Bus Stop, MG Road, Bangalore Urban, K'taka - 560001",Bengaluru Urban,560001,Plastic Moulding,2220,36,2020,2024-11-25,DORMANT,,GSTIN_4921394781DD0620,KFBIS-FAC-BLRU-2020-000133,ENT-00306
KFBIS-FAC-MYS-2016-000134,Harsha Pvt. Ltd.,Managing Partner,"#220, Extension, Hebbal Industrial Estate, Mysuru, K'taka - 570016",Mysuru,570016,Chemical Blending,2029,,2016,2023-07-15,DORMANT,,,KFBIS-FAC-MYS-2016-000134,ENT-00309
KFBIS-FAC-TUM-2021-000135,M/S Sree Tech Associates,,"No. 285, B Industrial Layout, Antharasanahalli Industrial Estate, Tumakuru, K'taka - 572106",Tumakuru,572106,Electronics Assembly,2610,,2021,2026-04-05,ACTIVE,PAN_D6C3B96359D24C06,,KFBIS-FAC-TUM-2021-000135,ENT-00310
KFBIS-FAC-BLRU-2015-000136,Bangalore Industries LLP,Owner A,"No. 104, D Extension, Whitefield Main Rd, Bangalore Urban, KA - 560066",Bengaluru Urban,560066,Machine Tools,2819,,2015,2025-11-07,ACTIVE,PAN_776AB1C211DDC571,,KFBIS-FAC-BLRU-2015-000136,ENT-00311
KFBIS-FAC-MYS-2015-000137,Nandi Foods Inustries,,"No. 60, C Sector, Nanjangud Road, Mysuru, K'taka - 570018",Mysuru,570018,Food Processing,1030,12,2015,2023-03-31,CLOSED,,,KFBIS-FAC-MYS-2015-000137,ENT-00313
KFBIS-FAC-BLRU-2025-000138,Kaveri Coatings Solutions,Director Masked,"No 257, A Main Rd, Yelahanka, Bangalore Urban, KA - 560064",Bengaluru Urban,560064,Chemical Blending,2029,,2025,2026-01-17,ACTIVE,,,KFBIS-FAC-BLRU-2025-000138,ENT-00315
KFBIS-FAC-BLRU-2017-000139,Ganesh Coatings LLP,Director Masked,"159, Behind Metro, Koramangala, B'luru Urban, Karnataka - 560034",Bengaluru Urban,560034,Chemical Blending,2029,85,2017,2018-05-14,CLOSED,,,KFBIS-FAC-BLRU-2017-000139,ENT-00316
KFBIS-FAC-BLRR-2017-000140,Navya Industrial Co,Managing Partner,"No 203, D Extension, Devanahalli, Bengaluru Rural, KA - 562110",Bengaluru Rural,562110,Chemical Blending,2029,,2017,2022-09-30,CLOSED,,,KFBIS-FAC-BLRR-2017-000140,ENT-00320
KFBIS-FAC-BLRU-2018-000141,M/S Asha Packaging Enterprises,Partner 1,"No 150, A Sector, Whitefield Mn Rd, Bengaluru Urban, Karnataka - 560066",Bengaluru Urban,560066,Printing / Packaging,1811,3,2018,2021-02-16,CLOSED,PAN_14CB0D17B8284526,GSTIN_3143A7FEA3B2960E,KFBIS-FAC-BLRU-2018-000141,ENT-00321
KFBIS-FAC-MYS-2017-000142,Nisarga Circuits Enterprises,Director Masked,"#239, C Extension, Nanjangud Road, Mysuru, Karnataka - 570018",Mysuru,570018,Electronics Assembly,2610,36,2017,2022-03-11,CLOSED,,,KFBIS-FAC-MYS-2017-000142,ENT-00322
KFBIS-FAC-BLRU-2024-000143,Sree Enterprises,Owner A,"No. 132, B Service Road, Electronic City, Bengaluru Urban, K'taka - 560100",Bengaluru Urban,560100,Chemical Blending,2029,8,2024,2026-04-04,ACTIVE,,,KFBIS-FAC-BLRU-2024-000143,ENT-00323
KFBIS-FAC-BLRU-2023-000144,M/S Varun Industries,Owner A,"No. 206, C Industrial Layout, Jayanagar, Bengaluru Urban, K'taka - 560078",Bengaluru Urban,560078,Food Processing,1030,12,2023,2025-06-12,ACTIVE,,,KFBIS-FAC-BLRU-2023-000144,ENT-00324
