consent_no,industry_name,industry_address,district,pin_code,industry_colour,regional_office,inward_type,inward_status,validity_date,last_event_date,pan_hash,gstin_hash,source_record_id,entity_id_ground_truth
PCB/BLRU/CTO/2015/00091,Bangalore Snacks LLP,"#244, B Main Rd, Jayanagar, Bengaluru Urban, KA - 560078",Bengaluru Urban,560078,Orange,Peenya,Expansion,Rejected,2027-01-29,2020-06-02,,,PCB/BLRU/CTO/2015/00091,ENT-00213
PCB/BLRU/CTE/2023/00092,Ananya Resins Industries,"53, D Service Road, Yelahanka, Bangalore Urban, Karnataka - 560064",Bengaluru Urban,560064,Red,Bengaluru South,Expansion,Approved,2025-12-26,2025-11-01,PAN_B49090A1574D2902,,PCB/BLRU/CTE/2023/00092,ENT-00215
PCB/BLRU/CTO/2019/00093,M/S Siddhi Industries,"#135, Near Bus Stop, BTM Layout, Bangalore Urban, Karnataka - 560029",Bengaluru Urban,560029,Red,Tumakuru,Expansion,Returned for Clarification,2025-05-24,2020-02-20,PAN_B5A69475EBF0A3B0,GSTIN_A8B56184C955B260,PCB/BLRU/CTO/2019/00093,ENT-00217
PCB/BLRU/CTO/2015/00094,Ananya Elec Co,"No 292, Main Rd, BTM Layout, Bengaluru Urban, KA - 560029",Bengaluru Urban,560029,Orange,Bengaluru North,Expansion,Rejected,2025-10-09,2023-10-16,,,PCB/BLRU/CTO/2015/00094,ENT-00218
PCB/BLRR/CTE/2023/00095,M/S Navya Precision Traders,"No 13, Plot Extension, Bagalur, B'luru Rural, KA - 562157",Bengaluru Rural,562157,Orange,Tumakuru,CTE,Rejected,2027-06-27,2025-09-03,,,PCB/BLRR/CTE/2023/00095,ENT-00219
PCB/MYS/CTE/2023/00096,Varun Mold LLP,"No. 19, B Industrial Layout, Hebbal Industrial Estate, Mysuru, Karnataka - 570016",Mysuru,570016,Red,Tumakuru,CTE,Pending,2023-11-30,2025-06-13,,,PCB/MYS/CTE/2023/00096,ENT-00223
PCB/BLRU/CTE/2016/00097,M/S Sree Tools LLP,"No. 245, Main Rd, Whitefield Main Rd, B'luru Urban, Karnataka - 560066",Bengaluru Urban,560066,Orange,Tumakuru,CTO,Approved,2028-03-21,2025-07-17,,,PCB/BLRU/CTE/2016/00097,ENT-00226
PCB/BLRU/CTO/2017/00098,Harsha LLP,"77, Shed Industrial Layout, Koramangala, Bangalore Urban, KA - 560034",Bengaluru Urban,560034,Green,Mysuru,CTE,Pending,2026-02-26,2022-02-17,PAN_33D024FFE853BC47,,PCB/BLRU/CTO/2017/00098,ENT-00227
PCB/BLRR/CTE/2018/00099,Aditya Tech Enterprises,"No 150, C 1st Crs, Bagalur, B'luru Rural, KA - 562157",Bengaluru Rural,562157,Orange,Bengaluru South,CTO,Approved,2024-11-13,2021-01-24,,,PCB/BLRR/CTE/2018/00099,ENT-00232
PCB/MYS/CTE/2020/00100,Srinidhi Traders,"#268, Shed Extension, Hebbal Industrial Area, Mysuru, Karnataka - 570016",Mysuru,570016,Orange,Bengaluru North,CTO,Pending,2027-08-27,2023-06-22,PAN_144B2AE572B63DB3,GSTIN_14252400B96E6E4F,PCB/MYS/CTE/2020/00100,ENT-00233
PCB/BLRU/CTE/2016/00101,M/S Sharma Print Enterprises,"No 221, B Near Bus Stop, Banashankari, Bengaluru Urban, Karnataka - 560085",Bengaluru Urban,560085,Orange,Mysuru,Expansion,Returned for Clarification,2027-07-26,2020-10-26,,,PCB/BLRU/CTE/2016/00101,ENT-00237
PCB/BLRU/CTO/2017/00102,M/S Kaveri Components Enterprises,"#221, B Extension, Jayanagar, B'luru Urban, K'taka - 560078",Bengaluru Urban,560078,Orange,Bengaluru South,CTO,Approved,2025-11-30,2018-10-19,,,PCB/BLRU/CTO/2017/00102,ENT-00238
PCB/MYS/CTO/2021/00103,Sahana Industries Co,"299, Main Rd, Nanjangud Road, Mysuru, KA",Mysuru,570018,Orange,Mysuru,CTE,Rejected,2027-11-02,2022-09-22,,GSTIN_0CF374A1AB8DE340,PCB/MYS/CTO/2021/00103,ENT-00240
PCB/BLRU/CTO/2021/00104,M/S Mysore Biryan Associates,"96, D 2nd Main, Whitefield Main Road, Bangalore Urban, K'taka - 560066",Bengaluru Urban,560066,Green,Bengaluru South,CTO,Rejected,2024-08-27,2022-06-25,,,PCB/BLRU/CTO/2021/00104,ENT-00241
PCB/BLRU/CTE/2025/00105,Sharma Moulding Inds,"No. 106, C Extension, MG Road, Bangalore Urban, KA - 560001",Bengaluru Urban,560001,Red,Tumakuru,CTO,Returned for Clarification,2023-11-25,2025-12-14,,GSTIN_57E7E5251FF179EF,PCB/BLRU/CTE/2025/00105,ENT-00243
PCB/BLRR/CTO/2015/00106,Sharma Coatings Pvt Ltd,"No 200, D Behind Metro, Bagalur, B'luru Rural, KA - 562157",Bengaluru Rural,562157,Red,Peenya,Renewal,Rejected,2025-01-28,2019-09-08,,,PCB/BLRR/CTO/2015/00106,ENT-00245
PCB/BLRU/CTE/2025/00107,Ananya Labs Enterprises,"No 11, C Near Bus Stop, Banashankari, Bengaluru Urban, Karnataka - 560085",Bengaluru Urban,560085,Orange,Mysuru,CTO,Rejected,2027-05-12,2026-04-10,,,PCB/BLRU/CTE/2025/00107,ENT-00246
PCB/BLRR/CTE/2019/00108,Kaveri Associaes,"#12, B Sector, Devanahalli, Bangalore Rural, Karnataka - 562110",Bengaluru Rural,562110,Orange,Bengaluru South,Renewal,Pending,2024-05-26,2021-06-26,,,PCB/BLRR/CTE/2019/00108,ENT-00247
PCB/BLRU/CTE/2020/00109,M/S Veda Precision Company,"No 268, D 1st Cross, Peenya Industrial Estate, Bengaluru Urban, K'taka - 560058",Bengaluru Urban,560058,Orange,Tumakuru,Renewal,Rejected,2026-03-12,2021-07-22,PAN_B74F2C0A5BD8CC00,,PCB/BLRU/CTE/2020/00109,ENT-00248
PCB/BLRU/CTO/2025/00110,Deccan Precision Co,"No 182, C Service Road, Whitefield Mn Rd, B'luru Urban, Karnataka - 560066",Bengaluru Urban,560066,Orange,Peenya,CTO,Returned for Clarification,2024-01-28,2026-03-10,,,PCB/BLRU/CTO/2025/00110,ENT-00249
PCB/BLRU/CTE/2024/00111,Sharma LLP,"No 190, Plot Industrial Layout, Peenya Indl Area, Bangalore Urban, KA - 560058",Bengaluru Urban,560058,Orange,Peenya,Renewal,Approved,2026-09-21,2025-07-03,PAN_116522B408A1CA95,,PCB/BLRU/CTE/2024/00111,ENT-00255
PCB/BLRR/CTO/2021/00112,Navya Mold LLP,"#234, B 1st Cross, Hoskote, B'luru Rural, K'taka - 562114",Bengaluru Rural,562114,Red,Tumakuru,Expansion,Returned for Clarification,2027-12-30,2026-01-05,PAN_D6113C83B5A9C187,,PCB/BLRR/CTO/2021/00112,ENT-00256
PCB/BLRU/CTE/2025/00113,Vijaya Industries Works,"15, Shed 3rd Phase, Jayanagar, Bengaluru Urban, Karnataka - 560078",Bengaluru Urban,560078,Orange,Bengaluru North,Expansion,Rejected,2025-01-31,2025-09-23,,,PCB/BLRU/CTE/2025/00113,ENT-00258
PCB/BLRU/CTE/2025/00114,Siddhi Packaging Entp,"No 180, Plot Main Rd, Whitefield Main Rd, Bangalore Urban, Karnataka - 560066",Bengaluru Urban,560066,Orange,Tumakuru,CTE,Approved,2024-07-15,2026-01-21,,,PCB/BLRU/CTE/2025/00114,ENT-00260
PCB/BLRU/CTO/2021/00115,M/S Veda Print Entp,"No 4, B Near Bus Stop, BTM Layout, Bangalore Urban, KA - 560029",Bengaluru Urban,560029,Orange,Bengaluru South,Renewal,Pending,2027-12-20,2026-01-25,,GSTIN_2E301C8AE1604718,PCB/BLRU/CTO/2021/00115,ENT-00261
PCB/BLRR/CTE/2019/00116,Meghana Spices LLP,"No. 102, Industrial Layout, Hoskote, Bangalore Rural, Karnataka - 562114",Bengaluru Rural,562114,Orange,Bengaluru South,Expansion,Approved,2027-10-18,2026-02-02,,,PCB/BLRR/CTE/2019/00116,ENT-00262
PCB/MYS/CTE/2018/00117,M/S Aditya Polymers Associates,"95, Plot Main Road, Devaraja Mohalla, Mysuru, KA - 570001",Mysuru,570001,Red,Peenya,CTO,Returned for Clarification,2028-05-05,2019-02-19,,,PCB/MYS/CTE/2018/00117,ENT-00263
PCB/BLRU/CTO/2022/00118,Veda Coatings Solutions,"No. 22, D 2nd Main, Whitefield Mn Rd, B'luru Urban, KA - 560066",Bengaluru Urban,560066,Red,Bengaluru South,CTE,Pending,2026-08-28,2023-08-03,PAN_01C507A5A7DC2335,,PCB/BLRU/CTO/2022/00118,ENT-00264
PCB/BLRU/CTE/2022/00119,M/S Sree Print Co,"No 106, A Behind Metro, HSR Layout, Bengaluru Urban, KA - 560102",Bengaluru Urban,560102,Orange,Tumakuru,Renewal,Pending,2024-04-29,2023-11-25,PAN_B5DFDAA871F5A94D,,PCB/BLRU/CTE/2022/00119,ENT-00266
PCB/BLRU/CTE/2022/00120,Vijaya Mouding Solutions,"#117, Sector, Whitefield Main Road, B'luru Urban, KA - 560066",Bengaluru Urban,560066,Red,Mysuru,Expansion,Pending,2025-04-22,2025-02-03,PAN_8902244CF4335CBA,,PCB/BLRU/CTE/2022/00120,ENT-00268
PCB/BLRU/CTE/2015/00121,Mysore Industries,"8, Plot Near Bus Stop, Kalyan Nagar, B'luru Urban, KA - 560043",Bengaluru Urban,560043,Orange,Tumakuru,CTO,Rejected,2026-07-21,2020-07-01,,,PCB/BLRU/CTE/2015/00121,ENT-00273
PCB/TUM/CTE/2022/00122,Harsha Works,"282, D Extension, Antharasanahalli Industrial Estate, Tumakuru, KA - 572106",Tumakuru,572106,Orange,Bengaluru South,Expansion,Approved,2024-06-17,2025-02-03,,,PCB/TUM/CTE/2022/00122,ENT-00275
PCB/BLRU/CTE/2022/00123,Omkar Mold Traders,"60, A 1st Cr, BTM Layout, Bengaluru Urban, Karnataka - 560029",Bengaluru Urban,560029,Red,Tumakuru,Renewal,Approved,2023-12-18,2022-04-05,PAN_3C7D032D6079014B,,PCB/BLRU/CTE/2022/00123,ENT-00276
PCB/BLRU/CTO/2020/00124,Asha CNC LLP,"No. 90, A Industrial Layout, Kalyan Nagar, Bangalore Urban, KA - 560043",Bengaluru Urban,560043,Orange,Peenya,Renewal,Approved,2028-05-12,2025-07-14,PAN_E35F91CF1E8B0DBF,,PCB/BLRU/CTO/2020/00124,ENT-00278
PCB/MYS/CTE/2023/00125,Omkar Coatings Pvt Ltd,"22, D Mn Rd, Hebbal Industrial Area, Mysuru, KA - 570016",Mysuru,570016,Red,Tumakuru,CTE,Pending,2024-05-15,2024-10-29,PAN_AF43DCE1AC1387A9,,PCB/MYS/CTE/2023/00125,ENT-00282
PCB/MYS/CTO/2019/00126,Prakruthi Packaging Enterprises,"45, Plot Extension, Devaraja Mohalla, Mysuru, KA - 570001",Mysuru,570001,Orange,Mysuru,Renewal,Pending,2027-10-14,2022-04-11,,,PCB/MYS/CTO/2019/00126,ENT-00284
PCB/BLRU/CTO/2015/00127,Ananya Chem Industries,"No 221, B 3rd Phase, Rajajinagar Industrial Suburb, B'luru Urban, K'taka - 560059",Bengaluru Urban,560059,Red,Mysuru,CTE,Pending,2028-09-20,2023-07-10,,GSTIN_C0DEC8E9E783AE32,PCB/BLRU/CTO/2015/00127,ENT-00285
PCB/BLRU/CTO/2025/00128,Harsha Works,"#274, Plot Sector, Yelahanka, Bengaluru Urban, K'taka - 560064",Bengaluru Urban,560064,Orange,Tumakuru,CTE,Pending,2026-08-22,2025-11-19,,,PCB/BLRU/CTO/2025/00128,ENT-00286
PCB/BLRU/CTO/2023/00129,Nandi Moulding Company,"No. 200, Shed Industrial Layout, Bannerghatta Road, Bangalore Urban, K'taka - 560076",Bengaluru Urban,560076,Red,Tumakuru,Renewal,Pending,2026-10-12,2024-06-03,,,PCB/BLRU/CTO/2023/00129,ENT-00288
PCB/BLRU/CTO/2020/00130,M/S Deccan Tools Traders,"#214, B 2nd Main, Bommanahalli, Bengaluru Urban, Karnataka - 560068",Bengaluru Urban,560068,Orange,Bengaluru South,Expansion,Approved,2027-01-31,2023-05-24,,,PCB/BLRU/CTO/2020/00130,ENT-00290
PCB/BLRU/CTO/2020/00131,Siddhi Works Enterprises,"No 7, C Mn Rd, Bannerghatta Road, B'luru Urban, Karnataka - 560076",Bengaluru Urban,560076,Orange,Tumakuru,Renewal,Approved,2025-11-19,2025-09-08,,GSTIN_03C304D422D93C74,PCB/BLRU/CTO/2020/00131,ENT-00293
PCB/BLRU/CTO/2020/00132,Veda Appaels Company,"#235, Behind Metro, Peenya Industrial Area, Bangalore Urban, KA - 560058",Bengaluru Urban,560058,Green,Mysuru,CTO,Returned for Clarification,2026-06-11,2020-09-24,,,PCB/BLRU/CTO/2020/00132,ENT-00296
PCB/BLRU/CTE/2015/00133,Srinidhi Press Works,"262, Industrial Layout, Jayanagar, B'luru Urban, K'taka - 560078",Bengaluru Urban,560078,Orange,Bengaluru North,Expansion,Rejected,2024-08-17,2017-05-23,,,PCB/BLRU/CTE/2015/00133,ENT-00299
PCB/BLRU/CTO/2017/00134,Varun Systems Solutions,"No 165, D Near Bus Stop, Electronic City, Bengaluru Urban, K'taka",Bengaluru Urban,560100,Orange,Tumakuru,Expansion,Rejected,2026-02-02,2025-10-09,,,PCB/BLRU/CTO/2017/00134,ENT-00300
PCB/BLRU/CTO/2020/00135,Kaveri Wear Works,"No 12, A Sector, Rajajinagar Industrial Suburb, Bengaluru Urban, K'taka - 560059",Bengaluru Urban,560059,Green,Tumakuru,CTO,Rejected,2027-01-06,2026-04-28,,,PCB/BLRU/CTO/2020/00135,ENT-00302
PCB/BLRU/CTO/2021/00136,Nandi Moulding Company,"No. 170, B Near Bus Stop, MG Road, Bengaluru Urban, K'taka - 560001",Bengaluru Urban,560001,Red,Bengaluru South,Renewal,Returned for Clarification,2027-12-02,2023-08-18,,,PCB/BLRU/CTO/2021/00136,ENT-00306
PCB/BLRU/CTE/2019/00137,Udupi Cafe Pvt Ltd,"172, B Sector, HSR Layout, B'luru Urban, Karnataka - 560102",Bengaluru Urban,560085,Green,Tumakuru,CTO,Rejected,2025-05-22,2021-10-20,PAN_2E782F96A8964532,GSTIN_72EF44158266CEBF,PCB/BLRU/CTE/2019/00137,ENT-00307
PCB/MYS/CTE/2017/00138,Harsha Pvt Ltd,"No. 220, Extension, Hebbal Industrial Area, Mysuru, KA",Mysuru,570016,Red,Bengaluru North,CTE,Pending,2026-06-14,2017-10-11,,,PCB/MYS/CTE/2017/00138,ENT-00309
PCB/TUM/CTO/2021/00139,M/S Sree Tech Associates,"No. 285, B Industrial Layout, Antharasanahalli Indl Area, Tumakuru, K'taka - 572106",Tumakuru,572106,Orange,Bengaluru South,CTO,Returned for Clarification,2026-06-08,2024-01-06,,,PCB/TUM/CTO/2021/00139,ENT-00310
PCB/BLRU/CTE/2023/00140,M/S Bangalore Industries LLP,"#104, D Extension, Whitefield Mn Rd, Bengaluru Urban, Karnataka - 560066",Bengaluru Urban,560066,Orange,Peenya,Expansion,Pending,2028-08-15,2024-05-03,,,PCB/BLRU/CTE/2023/00140,ENT-00311
PCB/BLRU/CTE/2017/00141,Naveen Printers Solutions,"No. 69, Extension, Rajajinagar Industrial Suburb, Bangalore Urban, KA - 560059",Bengaluru Urban,560059,Orange,Bengaluru North,CTE,Rejected,2026-12-30,2024-01-13,,,PCB/BLRU/CTE/2017/00141,ENT-00312
PCB/BLRU/CTE/2020/00142,Kaveri Coatings Solutions,"No. 257, A Main Rd, Yelahanka, Bangalore Urban, Karnataka - 560064",Bengaluru Urban,560064,Red,Mysuru,CTE,Returned for Clarification,2027-10-03,2025-01-18,PAN_C652EA3CE99C21E7,,PCB/BLRU/CTE/2020/00142,ENT-00315
PCB/BLRU/CTO/2023/00143,M/S Ganesh Coatings LLP,"No. 159, Behind Metro, Koramangala, B'luru Urban, KA - 560034",Bengaluru Urban,560034,Red,Peenya,CTO,Approved,2024-12-01,2025-02-12,,GSTIN_6F5F5BAF440289E8,PCB/BLRU/CTO/2023/00143,ENT-00316
PCB/BLRU/CTO/2016/00144,Nisarga Labels Pvt Ltd,"#288, Plot Main Road, Whitefield, B'luru Urban, K'taka - 560037",Bengaluru Urban,560037,Orange,Peenya,Expansion,Returned for Clarification,2024-04-11,2024-08-03,,,PCB/BLRU/CTO/2016/00144,ENT-00317
PCB/BLRR/CTE/2017/00145,M/S Navya Industrial Co,"#203, D Extension, Devanahalli, Bangalore Rural, Karnataka - 562110",Bengaluru Rural,562110,Red,Bengaluru South,CTE,Pending,2024-11-12,2025-10-26,,,PCB/BLRR/CTE/2017/00145,ENT-00320
PCB/MYS/CTO/2022/00146,Nisarga Circuits Enterprises,"239, C Extension, Nanjangud Road, Mysuru, K'taka - 570018",Mysuru,570018,Orange,Tumakuru,CTE,Pending,2026-06-15,2023-02-16,,,PCB/MYS/CTO/2022/00146,ENT-00322
PCB/BLRU/CTE/2023/00147,Sree Enterprises,"#132, B Service Road, Electronic City, Bangalore Urban, KA - 560100",Bengaluru Urban,560100,Red,Mysuru,Renewal,Rejected,2025-08-16,2025-06-17,,,PCB/BLRU/CTE/2023/00147,ENT-00323
PCB/BLRU/CTE/2021/00148,Varun Industries,"No 206, C Industrial Layout, Jayanagar, B'luru Urban, KA - 560078",Bengaluru Urban,560078,Orange,Tumakuru,CTE,Returned for Clarification,2027-07-04,2024-06-09,,,PCB/BLRU/CTE/2021/00148,ENT-00324
