udyam_record_id,enterprise_name,organisation_type,activity_type,nic_code,district,pin_code,employment_count,registration_date,status,pan_hash,udyam_hash,source_record_id,entity_id_ground_truth
UDYAM-KR-BLRU-2019-000114,Prakruthi Biryani Solutions,LLP,Service,5610,Bengaluru Urban,560064,3,2019-02-11,CLOSED,PAN_E4DEE4B385129038,UDYAM_74C214B26994B598,UDYAM-KR-BLRU-2019-000114,ENT-00234
UDYAM-KR-BLRU-2024-000115,Sahana Industries,LLP,Manufacturing,1811,Bengaluru Urban,560076,12,2024-04-30,ACTIVE,PAN_8714F7C507582EA6,,UDYAM-KR-BLRU-2024-000115,ENT-00235
UDYAM-KR-BLRU-2018-000116,Sharma Print Enterprises,Proprietorship,Manufacturing,1811,Bengaluru Urban,560085,4,2018-03-11,ACTIVE,,UDYAM_AE0426F66F2C2879,UDYAM-KR-BLRU-2018-000116,ENT-00237
UDYAM-KR-BLRU-2024-000117,M/S KAVERI COMPONENTS ENTP,LLP,Manufacturing,2610,Bengaluru Urban,560078,5,2024-03-07,ACTIVE,,UDYAM_0BBE73D7246221A3,UDYAM-KR-BLRU-2024-000117,ENT-00238
UDYAM-KR-TUM-2021-000118,Aditya Labels Enterprises,LLP,Manufacturing,1811,Tumakuru,572101,,2021-07-31,CLOSED,,,UDYAM-KR-TUM-2021-000118,ENT-00239
UDYAM-KR-BLRU-2017-000119,Sharma Moulding Industries,Proprietorship,Manufacturing,2220,Bengaluru Urban,560001,,2017-09-23,DORMANT,PAN_204F0D5092A8347D,UDYAM_93E1987A519F722C,UDYAM-KR-BLRU-2017-000119,ENT-00243
UDYAM-KR-BLRR-2021-000120,Sharma Coaings Pvt Ltd,LLP,Manufacturing,2029,Bengaluru Rural,562157,12,2021-11-06,DORMANT,,,UDYAM-KR-BLRR-2021-000120,ENT-00245
UDYAM-KR-BLRR-2017-000121,M/S Kaveri Associates,LLP,Manufacturing,1811,Bengaluru Rural,562110,,2017-12-03,DORMANT,PAN_ECAA29CD4AF7D75C,,UDYAM-KR-BLRR-2017-000121,ENT-00247
UDYAM-KR-BLRU-2015-000122,Veda Precision Company,Partnership,Manufacturing,2819,Bengaluru Urban,560058,3,2015-12-13,ACTIVE,PAN_B74F2C0A5BD8CC00,UDYAM_2B512E9001FE41C7,UDYAM-KR-BLRU-2015-000122,ENT-00248
UDYAM-KR-BLRU-2021-000123,DECCAN PRECISION CO,Proprietorship,Manufacturing,2819,Bengaluru Urban,560066,36,2021-07-10,DORMANT,,UDYAM_0201CBE1D2B69192,UDYAM-KR-BLRU-2021-000123,ENT-00249
UDYAM-KR-BLRU-2019-000124,Sree Pharma Pvt Ltd,Proprietorship,Retail,4772,Bengaluru Urban,560068,10,2019-05-21,CLOSED,PAN_A12F2782E8476B91,,UDYAM-KR-BLRU-2019-000124,ENT-00252
UDYAM-KR-MYS-2019-000125,SRINIDHI LLP,Partnership,Service,5610,Mysuru,570016,25,2019-04-13,CLOSED,,,UDYAM-KR-MYS-2019-000125,ENT-00254
UDYAM-KR-BLRR-2020-000126,Navya Mol LLP,Private Limited,Manufacturing,2220,Bengaluru Rural,562114,18,2020-09-07,CLOSED,PAN_D6113C83B5A9C187,UDYAM_CCD5A8FBA27AE260,UDYAM-KR-BLRR-2020-000126,ENT-00256
UDYAM-KR-BLRU-2017-000127,VIJAYA INDUSTRIES WORKS,Proprietorship,Manufacturing,2819,Bengaluru Urban,560078,36,2017-12-12,CLOSED,PAN_C7CA821D673ADC5F,UDYAM_115E9296ECE60CE4,UDYAM-KR-BLRU-2017-000127,ENT-00258
UDYAM-KR-BLRU-2015-000128,Veda Print Enterprises,Proprietorship,Manufacturing,1811,Bengaluru Urban,560029,,2015-03-31,CLOSED,PAN_886A4A6F0D259404,,UDYAM-KR-BLRU-2015-000128,ENT-00261
UDYAM-KR-BLRR-2015-000129,M/S Meghana Spices LLP,Partnership,Manufacturing,1030,Bengaluru Rural,562114,52,2015-02-27,ACTIVE,,UDYAM_3547276AD26D2047,UDYAM-KR-BLRR-2015-000129,ENT-00262
UDYAM-KR-BLRU-2018-000130,M/S Veda Coatings Solutions,Partnership,Manufacturing,2029,Bengaluru Urban,560066,8,2018-04-08,CLOSED,,,UDYAM-KR-BLRU-2018-000130,ENT-00264
UDYAM-KR-BLRU-2021-000131,M/S Sree Print Co,LLP,Manufacturing,1811,Bengaluru Urban,560102,18,2021-09-12,CLOSED,PAN_B5DFDAA871F5A94D,UDYAM_32D55966AF9EB52A,UDYAM-KR-BLRU-2021-000131,ENT-00266
UDYAM-KR-BLRU-2023-000132,M/S Vijaya Moulding Solutions,LLP,Manufacturing,2220,Bengaluru Urban,560066,4,2023-01-05,DORMANT,PAN_8902244CF4335CBA,,UDYAM-KR-BLRU-2023-000132,ENT-00268
UDYAM-KR-BLRU-2020-000133,BANGALORE TRADERS,Partnership,Retail,4772,Bengaluru Urban,560066,5,2020-03-19,CLOSED,,,UDYAM-KR-BLRU-2020-000133,ENT-00271
UDYAM-KR-BLRU-2017-000134,Ganesh Care Co,Private Limited,Retail,4772,Bengaluru Urban,560034,3,2017-09-13,CLOSED,,UDYAM_FD40DDF052808A1F,UDYAM-KR-BLRU-2017-000134,ENT-00272
UDYAM-KR-BLRU-2020-000135,M/S MYSORE INDUSTRIES,Private Limited,Manufacturing,1030,Bengaluru Urban,560043,52,2020-05-03,CLOSED,,UDYAM_C2E80B30253CFC25,UDYAM-KR-BLRU-2020-000135,ENT-00273
UDYAM-KR-BLRU-2023-000136,Omkar Mold Traders,LLP,Manufacturing,2220,Bengaluru Urban,560029,,2023-05-22,DORMANT,PAN_3C7D032D6079014B,UDYAM_419A17B62A1990C7,UDYAM-KR-BLRU-2023-000136,ENT-00276
UDYAM-KR-BLRU-2019-000137,ASHA CNC LLP,Partnership,Manufacturing,2819,Bengaluru Urban,560001,36,2019-06-01,DORMANT,PAN_E35F91CF1E8B0DBF,,UDYAM-KR-BLRU-2019-000137,ENT-00278
UDYAM-KR-BLRR-2016-000138,M/S Navya Garments Works,LLP,Manufacturing,1410,Bengaluru Rural,562157,,2016-11-23,CLOSED,PAN_1ECC745C95ED9A63,,UDYAM-KR-BLRR-2016-000138,ENT-00281
UDYAM-KR-MYS-2018-000139,Omkar Coatings Pvt Ltd,Proprietorship,Manufacturing,2029,Mysuru,570016,,2018-09-30,CLOSED,PAN_AF43DCE1AC1387A9,UDYAM_5DDFBE29C6BC54A8,UDYAM-KR-MYS-2018-000139,ENT-00282
UDYAM-KR-BLRU-2015-000140,Ananya Chem Inds,LLP,Manufacturing,2029,Bengaluru Urban,560059,,2015-05-17,CLOSED,,UDYAM_4137F8987B301E04,UDYAM-KR-BLRU-2015-000140,ENT-00285
UDYAM-KR-BLRU-2023-000141,Harsha Works,Private Limited,Manufacturing,1030,Bengaluru Urban,560064,,2023-04-07,ACTIVE,,UDYAM_F6D6B22CF51BB837,UDYAM-KR-BLRU-2023-000141,ENT-00286
UDYAM-KR-BLRU-2024-000142,M/S Prakruthi Packaging Works,Private Limited,Service,5610,Bengaluru Urban,560043,,2024-01-08,DORMANT,,,UDYAM-KR-BLRU-2024-000142,ENT-00287
UDYAM-KR-BLRU-2020-000143,M/S Nandi Moulding Company,Proprietorship,Manufacturing,2220,Bengaluru Urban,560076,8,2020-04-16,CLOSED,,,UDYAM-KR-BLRU-2020-000143,ENT-00288
UDYAM-KR-BLRU-2022-000144,Aarohi Bakery Associates,LLP,Manufacturing,1030,Bengaluru Urban,560076,,2022-04-23,CLOSED,,,UDYAM-KR-BLRU-2022-000144,ENT-00289
UDYAM-KR-BLRU-2025-000145,Deccan Tools Traders,LLP,Manufacturing,2819,Bengaluru Urban,560068,3,2025-07-17,ACTIVE,,UDYAM_5927580713AC3E60,UDYAM-KR-BLRU-2025-000145,ENT-00290
UDYAM-KR-BLRR-2020-000146,M/S LAKSHMI MEDS PVT LTD,Private Limited,Retail,4772,Bengaluru Rural,562110,,2020-05-01,CLOSED,PAN_5D3E13DDB0BCBB69,UDYAM_B37BD2B7F9ADAB25,UDYAM-KR-BLRR-2020-000146,ENT-00291
UDYAM-KR-BLRU-2024-000147,Siddhi Works Entp,LLP,Manufacturing,2819,Bengaluru Urban,560076,18,2024-04-27,ACTIVE,PAN_340F784F33AB8AE7,,UDYAM-KR-BLRU-2024-000147,ENT-00293
UDYAM-KR-BLRR-2016-000148,Nandi Tools Co,Private Limited,Manufacturing,2819,Bengaluru Rural,561203,25,2016-06-03,CLOSED,PAN_F52B82BD8F6FBADF,,UDYAM-KR-BLRR-2016-000148,ENT-00294
UDYAM-KR-BLRU-2023-000149,M/S Lakshmi Kitche Pvt Ltd,LLP,Service,5610,Bengaluru Urban,560024,,2023-04-03,DORMANT,PAN_AE7BA4C831F4ECAE,UDYAM_49D76E771FF4D5F4,UDYAM-KR-BLRU-2023-000149,ENT-00295
UDYAM-KR-BLRU-2018-000150,Mysore Health Industries,Proprietorship,Retail,4772,Bengaluru Urban,560064,12,2018-12-19,ACTIVE,,UDYAM_1AD536C50C701BCA,UDYAM-KR-BLRU-2018-000150,ENT-00297
UDYAM-KR-BLRU-2017-000151,Varun Systems Solutions,Proprietorship,Manufacturing,2610,Bengaluru Urban,560100,2,2017-12-06,DORMANT,,UDYAM_13561B92E2E26B1D,UDYAM-KR-BLRU-2017-000151,ENT-00300
UDYAM-KR-BLRU-2022-000152,Kaveri Wear Works,Private Limited,Manufacturing,1410,Bengaluru Urban,560059,25,2022-08-15,DORMANT,PAN_A130EDFFBA2977DA,,UDYAM-KR-BLRU-2022-000152,ENT-00302
UDYAM-KR-MYS-2022-000153,Prakruthi Stores LLP,LLP,Service,5210,Mysuru,570016,12,2022-05-15,DORMANT,PAN_5E69DCA2AC8BFFAE,,UDYAM-KR-MYS-2022-000153,ENT-00303
UDYAM-KR-BLRU-2017-000154,Omkar Health Enterprises,Private Limited,Retail,4772,Bengaluru Urban,560064,,2017-04-18,CLOSED,PAN_4A10532E4A0D9594,UDYAM_1EC1CAF1813016C9,UDYAM-KR-BLRU-2017-000154,ENT-00305
UDYAM-KR-BLRU-2023-000155,Nandi Moulding Company,Partnership,Manufacturing,2220,Bengaluru Urban,560085,36,2023-06-05,DORMANT,PAN_B9DDF2E289A879D8,,UDYAM-KR-BLRU-2023-000155,ENT-00306
UDYAM-KR-BLRU-2016-000156,Udupi Cafe Pvt Ltd,Partnership,Service,5610,Bengaluru Urban,560102,,2016-05-08,ACTIVE,PAN_2E782F96A8964532,,UDYAM-KR-BLRU-2016-000156,ENT-00307
UDYAM-KR-BLRU-2018-000157,Bangalore Inds LLP,Private Limited,Manufacturing,2819,Bengaluru Urban,560066,36,2018-10-08,DORMANT,,,UDYAM-KR-BLRU-2018-000157,ENT-00311
UDYAM-KR-BLRU-2019-000158,M/S Srinidhi Labels Company,LLP,Manufacturing,1811,Bengaluru Urban,560034,52,2019-04-22,DORMANT,,UDYAM_D0DAF0B98B0FF983,UDYAM-KR-BLRU-2019-000158,ENT-00314
UDYAM-KR-BLRU-2021-000159,Kaveri Catings Solutions,Partnership,Manufacturing,2029,Bengaluru Urban,560064,,2021-06-10,DORMANT,PAN_C652EA3CE99C21E7,,UDYAM-KR-BLRU-2021-000159,ENT-00315
UDYAM-KR-BLRU-2020-000160,M/S Nisarga Labels Pvt Ltd,Partnership,Manufacturing,1811,Bengaluru Urban,560037,10,2020-06-17,CLOSED,,UDYAM_BBCE0D85DF593C6D,UDYAM-KR-BLRU-2020-000160,ENT-00317
UDYAM-KR-MYS-2018-000161,Lakshmi LLP,LLP,Service,5210,Mysuru,570016,52,2018-08-11,CLOSED,PAN_92FF94FCE953FC3F,,UDYAM-KR-MYS-2018-000161,ENT-00318
UDYAM-KR-BLRU-2022-000162,Ganesh Medical Solutions,LLP,Retail,4772,Bengaluru Urban,560085,180,2022-10-20,ACTIVE,PAN_1BA552F563543DB2,UDYAM_BC66A53478DD6592,UDYAM-KR-BLRU-2022-000162,ENT-00319
UDYAM-KR-MYS-2024-000163,M/S Nisarga Circuits Enterprises,LLP,Manufacturing,2610,Mysuru,570018,,2024-02-04,DORMANT,,UDYAM_31F235AFBC4BF314,UDYAM-KR-MYS-2024-000163,ENT-00322
UDYAM-KR-BLRU-2017-000164,Naveen Medical Solutions,Partnership,Retail,4772,Bengaluru Urban,560102,52,2017-09-03,ACTIVE,,,UDYAM-KR-BLRU-2017-000164,ENT-00325
