source_record_id,source_system,source_system_name,entity_id_ground_truth,business_name,trade_name,owner_name_masked,address,locality,district,district_code,pin_code,ward,zone,business_type,business_category,nic_code,pollution_category,pan_hash,gstin_hash,udyam_hash,phone,email,registration_date,last_event_date,status,employee_count,turnover_band_lakh,ingested_at,data_quality_notes
KFBIS-FAC-BLRU-2017-000046,FACTORY,"Factories, Boilers, Industrial Safety and Health",ENT-00093,Kaveri Systems Pvt Ltd,,Owner A,"No. 51, B 3rd Phase, HSR Layout, B'luru Urban, K'taka - 560102",HSR Layout,Bengaluru Urban,BLRU,560102,Ward-174,Bommanahalli,Electronics Assembly,Manufacturing,2610,Orange,,,,9000736604,,2017-01-29,2017-08-26,CLOSED,,,2026-02-17,pan_hash;gstin_hash;email
GST-KA-BLRU-2024-000069,GST,GST Taxpayer Registry,ENT-00093,Kaveri Systems Pvt Ltd,M/S KAVERI SYSTES,Partner 1,"51, B 3rd Phase, HSR Layout, Bengaluru Urban, KA - 560102",HSR Layout,Bengaluru Urban,BLRU,560102,Ward-174,Bommanahalli,Electronics Assembly,Manufacturing,2610,Orange,PAN_0752B7A29DDA5077,,,,,2024-09-08,2026-04-13,ACTIVE,10,,2026-05-01,gstin_hash;phone;email
PCB/BLRU/CTO/2018/00038,KSPCB,Karnataka State Pollution Control Board,ENT-00093,M/S Kaveri Systems Pvt Ltd,Kaveri Systems,Managing Partner,"No. 51, B 3rd Phase, HSR Layout, B'luru Urban, K'taka - 560102",HSR Layout,Bengaluru Urban,BLRU,560102,Ward-174,Bommanahalli,Electronics Assembly,Manufacturing,2610,Orange,,,,9000736604,,2018-02-02,2021-08-20,CLOSED,,25-50,2026-01-08,pan_hash;gstin_hash;email
LAB-KA-BLRU-2023-000043,LABOUR,Labour Department,ENT-00093,Kaveri Systems Pvt. Ltd.,Kaveri Systems,Director Masked,"#51, B 3rd Phase, HSR Layout, Bengaluru Urban, K'taka - 560102",HSR Layout,Bengaluru Urban,BLRU,560102,Ward-174,Bommanahalli,Electronics Assembly,Manufacturing,2610,Orange,PAN_0752B7A29DDA5077,,,9000736604,,2023-01-20,2025-04-30,DORMANT,10,,2025-12-30,gstin_hash;email
UDYAM-KR-BLRU-2020-000047,UDYAM,Udyam / MSME Registry,ENT-00093,M/S Kavei Systems Pvt Ltd,Kaveri Systems,Owner B,"#51, B 3rd Phase, HSR Layout, Bangalore Urban, KA - 560102",HSR Layout,Bengaluru Urban,BLRU,560102,Ward-174,Bommanahalli,Electronics Assembly,Manufacturing,2610,Orange,PAN_0752B7A29DDA5077,,UDYAM_486AC2F9D047E49F,9000736604,,2020-05-10,2023-01-24,CLOSED,10,,2026-04-28,gstin_hash;email
BBMP-TL-SOUT-2019-000033,BBMP,BBMP Trade Licence,ENT-00094,M/S Sharma Biryani Pvt. Ltd.,M/S Sharma Biryani,Managing Partner,"#52, Plot 2nd Main, Bommanahalli, B'luru Urban, K'taka - 560068",Bommanahalli,Bengaluru Urban,BLRU,560068,Ward-175,South,Restaurant / Cafe,Service,5610,Green,,,,,,2019-07-10,2021-07-27,CLOSED,4,,2026-02-16,pan_hash;gstin_hash;phone;email
GST-KA-BLRU-2024-000070,GST,GST Taxpayer Registry,ENT-00094,Sharma Biryani Pvt. Ltd.,Sharma Biryani,Director Masked,"#52, Plot 2nd Main, Bommanahalli, Bengaluru Urban, Karnataka - 560068",Bommanahalli,Bengaluru Urban,BLRU,560068,Ward-175,South,Restaurant / Cafe,Service,5610,Green,,,UDYAM_ED899AFB6B5727AA,,,2024-01-23,2024-10-30,DORMANT,,,2026-03-13,pan_hash;gstin_hash;phone;email
LAB-KA-BLRU-2021-000044,LABOUR,Labour Department,ENT-00094,Sharma Biryani Pvt Ltd,,Owner A,"52, Plot 2nd Main, Bommanahalli, Bengaluru Urban, K'taka - 560068",Bommanahalli,Bengaluru Urban,BLRU,560068,Ward-175,South,Restaurant / Cafe,Service,5610,Green,,,,,,2021-04-21,2024-11-14,DORMANT,4,,2025-12-03,pan_hash;gstin_hash;phone;email
KAR-SHOP-BLRU-2015-000065,SHOP,Karnataka Shops and Commercial Establishments,ENT-00094,Sharma Biryani Pv Ltd,Shara Biryani,Owner B,"52, Plot 2nd Main, Bommanahalli, Bengaluru Urban, K'taka - 560068",Bommanahalli,Bengaluru Urban,BLRU,560068,Ward-175,South,Restaurant / Cafe,Service,5610,Green,,,,,,2015-05-06,2019-07-30,CLOSED,4,,2026-03-25,pan_hash;gstin_hash;phone;email
UDYAM-KR-BLRU-2018-000048,UDYAM,Udyam / MSME Registry,ENT-00094,Sharma Biryani Pvt Ltd,,Director Masked,"#52, Plot 2nd Main, Bommanahalli, B'luru Urban, KA - 560068",Bommanahalli,Bengaluru Urban,BLRU,560068,Ward-175,South,Restaurant / Cafe,Service,5610,Green,,,UDYAM_ED899AFB6B5727AA,,,2018-07-31,2025-03-22,DORMANT,4,,2025-12-02,pan_hash;gstin_hash;phone;email
KFBIS-FAC-BLRU-2023-000047,FACTORY,"Factories, Boilers, Industrial Safety and Health",ENT-00095,M/S Deccan Packaging Traders,Deccan Packaging Traders,Managing Partner,"#211, C 1st Crs, BTM Layout, Bangalore Urban, Karnataka - 560029",BTM Layout,Bengaluru Urban,BLRU,560029,Ward-176,South,Printing / Packaging,Manufacturing,1811,Orange,,,,9000752442,,2023-04-03,2024-06-08,DORMANT,,50-100,2026-04-22,pan_hash;gstin_hash;email
GST-KA-BLRU-2025-000071,GST,GST Taxpayer Registry,ENT-00095,M/S DECCAN PACKAGING TRADERS,M/S Deccan Packaging Traders,Director Masked,"#211, C 1st Cross, BTM Layout, Bengaluru Urban, K'taka - 560029",BTM Layout,Bengaluru Urban,BLRU,560029,Ward-176,South,Printing / Packaging,Manufacturing,1811,Orange,,,,9000752442,,2025-01-20,2025-09-09,ACTIVE,52,50-100,2026-04-23,pan_hash;gstin_hash;email
PCB/BLRU/CTO/2020/00039,KSPCB,Karnataka State Pollution Control Board,ENT-00095,Deccan Packaging Traders,Deccan Packaging Traders,,"211, C 1st Cross, BTM Layout, B'luru Urban, KA",BTM Layout,Bengaluru Urban,BLRU,560029,Ward-176,South,Printing / Packaging,Manufacturing,1811,Orange,,,,9000752442,,2020-11-17,2023-05-31,DORMANT,,,2026-03-13,pan_hash;gstin_hash;email
KAR-SHOP-BLRU-2016-000066,SHOP,Karnataka Shops and Commercial Establishments,ENT-00095,Decan Packaging Traders,,Managing Partner,"No. 211, C 1st Cr, BTM Layout, B'luru Urban, Karnataka - 560029",BTM Layout,Bengaluru Urban,BLRU,560029,Ward-176,South,Printing / Packaging,Manufacturing,1811,Orange,,,,9000752442,,2016-12-18,2019-05-01,CLOSED,52,,2026-01-30,pan_hash;gstin_hash;email
BBMP-TL-NORT-2025-000034,BBMP,BBMP Trade Licence,ENT-00096,Ananya Devices Solutions,Ananya Devices Solutions,Owner B,"No 250, D Extension, Hebbal Industrial Area, Mysuru, KA - 570016",Hebbal Industrial Area,Mysuru,MYS,570016,Ward-M21,North,Electronics Assembly,Manufacturing,2610,Orange,,,,,,2025-04-02,2025-05-08,ACTIVE,18,,2025-11-23,pan_hash;gstin_hash;phone;email
KFBIS-FAC-MYS-2024-000048,FACTORY,"Factories, Boilers, Industrial Safety and Health",ENT-00096,Ananya Devices Solutions,Ananya Devices Solutions,Managing Partner,"No. 250, D Extension, Hebbal Industrial Area, Mysuru, KA - 570016",Hebbal Industrial Area,Mysuru,MYS,570016,Ward-M21,North,Electronics Assembly,Manufacturing,2610,Orange,,GSTIN_3B0B225DA27E5FC2,,,,2024-09-24,2025-09-28,ACTIVE,18,,2025-12-28,pan_hash;phone;email
GST-KA-MYS-2017-000072,GST,GST Taxpayer Registry,ENT-00096,M/S Ananya Devices Solutions,,Owner B,"250, D Extension, Hebbal Industrial Area, Mysuru, K'taka - 570016",Hebbal Industrial Area,Mysuru,MYS,570016,Ward-M21,North,Electronics Assembly,Manufacturing,2610,Orange,,GSTIN_3B0B225DA27E5FC2,,,,2017-11-05,2019-03-15,CLOSED,,50-100,2025-12-02,pan_hash;phone;email
KAR-SHOP-MYS-2023-000067,SHOP,Karnataka Shops and Commercial Establishments,ENT-00096,M/S Ananya Devices Solutions,,Owner A,"250, D Extension, Hebbal Indl Area, Mysuru, KA - 570016",Hebbal Industrial Area,Mysuru,MYS,570016,Ward-M21,North,Electronics Assembly,Manufacturing,2610,Orange,,,,9000760361,,2023-01-07,2023-08-31,DORMANT,,,2026-02-08,pan_hash;gstin_hash;email
BBMP-TL-SOUT-2024-000035,BBMP,BBMP Trade Licence,ENT-00097,M/S Ananya Labs Pvt Ltd,M/S Ananya Labs,Director Masked,"No. 216, Shed Behind Metro, Banashankari, Bengaluru Urban, KA - 560085",Banashankari,Bengaluru Urban,BLRU,560085,Ward-182,South,Chemical Blending,Manufacturing,2029,Red,,GSTIN_86D7D7F0675821B5,,,,2024-03-23,2024-05-12,DORMANT,,,2025-11-07,pan_hash;phone;email
KFBIS-FAC-BLRU-2017-000049,FACTORY,"Factories, Boilers, Industrial Safety and Health",ENT-00097,M/S Ananya Labs Pvt Ltd,M/S Ananya Labs,,"No 216, Shed Behind Metro, Banashankari, Bangalore Urban, Karnataka - 560085",Banashankari,Bengaluru Urban,BLRU,560085,Ward-182,South,Chemical Blending,Manufacturing,2029,Red,PAN_F23A85C0426F601B,GSTIN_86D7D7F0675821B5,,9000768280,,2017-02-08,2020-11-05,CLOSED,2,,2026-03-26,email
PCB/BLRU/CTE/2016/00040,KSPCB,Karnataka State Pollution Control Board,ENT-00097,M/S Ananya Labs Pvt Ltd,Ananya Labs,Owner B,"No 216, Shed Behind Metro, Banashankari, Bengaluru Urban, Karnataka - 560085",Banashankari,Bengaluru Urban,BLRU,560085,Ward-182,South,Chemical Blending,Manufacturing,2029,Red,,,,9000768280,,2016-03-31,2017-02-15,CLOSED,2,,2026-03-05,pan_hash;gstin_hash;email
PCB/BLRU/CTE/2019/00041,KSPCB,Karnataka State Pollution Control Board,ENT-00098,Ganesh Works,Ganesh Works,Owner A,"No. 76, B Industrial Layout, BTM Layout, Bangalore Urban, K'taka - 560029",BTM Layout,Bengaluru Urban,BLRU,560029,Ward-176,South,Printing / Packaging,Manufacturing,1811,Orange,PAN_0BE0ABA78E98D584,,,,,2019-08-30,2025-03-22,DORMANT,3,,2025-12-09,gstin_hash;phone;email
KAR-SHOP-BLRU-2025-000068,SHOP,Karnataka Shops and Commercial Establishments,ENT-00098,Ganesh Works,M/S Ganesh Wors,,"76, B Industrial Layout, BTM Layout, Bangalore Urban, K'taka - 560029",BTM Layout,Bengaluru Urban,BLRU,560029,Ward-176,South,Printing / Packaging,Manufacturing,1811,Orange,,GSTIN_21E1AB5D76E10596,UDYAM_6399F0FF871F3C6E,9000776199,,2025-09-06,2025-11-08,ACTIVE,,,2026-01-06,pan_hash;email
BBMP-TL-BENG-2020-000036,BBMP,BBMP Trade Licence,ENT-00099,Mysore Cargo Solutions,Mysore Cargo Solutions,Partner 1,"62, Shed 1st Cr, Hoskote, B'luru Rural, Karnataka - 562114",Hoskote,Bengaluru Rural,BLRR,562114,Ward-R04,Bengaluru Rural,Logistics / Warehouse,Service,5210,Green,PAN_E9BD68AFABFF1B32,GSTIN_9D23D1FC7C1597DC,,,,2020-01-12,2026-04-29,CLOSED,120,,2025-12-10,phone;email
GST-KA-BLRR-2018-000073,GST,GST Taxpayer Registry,ENT-00099,Mysore Cargo Solutions,Mysore Cargo Solutions,Director Masked,"62, Shed 1st Crs, Hoskote, Bengaluru Rural, Karnataka - 562114",Hoskote,Bengaluru Rural,BLRR,562114,Ward-R04,Bengaluru Rural,Logistics / Warehouse,Service,5210,Green,PAN_E9BD68AFABFF1B32,GSTIN_9D23D1FC7C1597DC,,,,2018-04-04,2022-01-12,CLOSED,,,2025-12-14,phone;email
LAB-KA-BLRR-2023-000045,LABOUR,Labour Department,ENT-00099,Mysore Cargo Solutions,,Director Masked,"No. 62, Shed 1st Cross, Hoskote, Bengaluru Rural, Karnataka - 562114",Hoskote,Bengaluru Rural,BLRR,562110,Ward-R04,Bengaluru Rural,Logistics / Warehouse,Service,5210,Green,,,,,contact0099@examplebiz.in,2023-10-08,2024-07-05,DORMANT,120,,2026-02-20,pan_hash;gstin_hash;phone;pin_drift
KAR-SHOP-BLRR-2019-000069,SHOP,Karnataka Shops and Commercial Establishments,ENT-00099,Mysore Cargo Solutions,M/S Mysore Cargo Solutions,Partner 1,"No 62, Shed 1st Cr, Hoskote, Bengaluru Rural, KA - 562114",Hoskote,Bengaluru Rural,BLRR,562114,Ward-R04,Bengaluru Rural,Logistics / Warehouse,Service,5210,Green,,GSTIN_9D23D1FC7C1597DC,,,contact0099@examplebiz.in,2019-11-26,2020-06-04,CLOSED,120,100-500,2026-01-24,pan_hash;phone
UDYAM-KR-BLRR-2022-000049,UDYAM,Udyam / MSME Registry,ENT-00099,Mysore Cargo olutions,,Owner A,"#62, Shed 1st Crs, Hoskote, Bangalore Rural, K'taka",Hoskote,Bengaluru Rural,BLRR,562114,Ward-R04,Bengaluru Rural,Logistics / Warehouse,Service,5210,Green,PAN_E9BD68AFABFF1B32,,,,,2022-08-14,2024-02-24,DORMANT,,100-500,2025-11-20,gstin_hash;phone;email
BBMP-TL-EAST-2019-000037,BBMP,BBMP Trade Licence,ENT-00100,Srinidhi Traders,Srinidhi Traders,Owner A,"235, D Extension, Kalyan Nagar, Bangalore Urban, K'taka - 560043",Kalyan Nagar,Bengaluru Urban,BLRU,560043,Ward-025,East,Food Processing,Manufacturing,1030,Orange,,,,,contact0100@examplebiz.in,2019-05-02,2025-02-15,DORMANT,180,,2026-03-29,pan_hash;gstin_hash;phone
GST-KA-BLRU-2024-000074,GST,GST Taxpayer Registry,ENT-00100,M/S Srinidhi Traders,Srinidhi Traders,Director Masked,"235, D Extension, Kalyan Nagar, B'luru Urban, KA - 560043",Kalyan Nagar,Bengaluru Urban,BLRU,560043,Ward-025,East,Food Processing,Manufacturing,1030,Orange,,,,,,2024-07-13,2026-04-24,ACTIVE,,500+,2026-04-27,pan_hash;gstin_hash;phone;email
PCB/BLRU/CTE/2020/00042,KSPCB,Karnataka State Pollution Control Board,ENT-00100,Srinidhi Traders,,Managing Partner,"No. 235, D Extension, Kalyan Nagar, Bangalore Urban, Karnataka - 560043",Kalyan Nagar,Bengaluru Urban,BLRU,560043,Ward-025,East,Food Processing,Manufacturing,1030,Orange,,,,9000792037,contact0100@examplebiz.in,2020-05-07,2023-01-09,CLOSED,,,2026-04-23,pan_hash;gstin_hash
KFBIS-FAC-BLRU-2022-000050,FACTORY,"Factories, Boilers, Industrial Safety and Health",ENT-00101,Srinidhi Enterprises,,Owner B,"#195, B Behind Metro, Banashankari, Bengaluru Urban, Karnataka - 560085",Banashankari,Bengaluru Urban,BLRU,560085,Ward-182,South,Machine Tools,Manufacturing,2819,Orange,,,,,,2022-10-31,2023-02-10,CLOSED,,500+,2025-11-19,pan_hash;gstin_hash;phone;email
GST-KA-BLRU-2019-000075,GST,GST Taxpayer Registry,ENT-00101,M/S Srinidhi Enterprises,Srinidhi Entp,Owner A,"#195, B Behind Metro, Banashankari, B'luru Urban, KA",Banashankari,Bengaluru Urban,BLRU,560085,Ward-182,South,Machine Tools,Manufacturing,2819,Orange,,,,,contact0101@examplebiz.in,2019-05-01,2023-04-17,CLOSED,8,,2025-11-29,pan_hash;gstin_hash;phone
PCB/BLRU/CTO/2022/00043,KSPCB,Karnataka State Pollution Control Board,ENT-00101,M/S Srinidhi Enterprises,,Owner A,"#195, B Behind Metro, Banashankari, Bengaluru Urban, Karnataka - 560085",Banashankari,Bengaluru Urban,BLRU,560085,Ward-182,South,Machine Tools,Manufacturing,2819,Orange,,,UDYAM_36FF63D1ABC5AE04,,,2022-08-09,2024-07-18,DORMANT,,500+,2026-03-13,pan_hash;gstin_hash;phone;email
LAB-KA-BLRU-2021-000046,LABOUR,Labour Department,ENT-00101,Srinidhi Enterprises,,Owner A,"No 195, B Behind Metro, Banashankari, Bangalore Urban, Karnataka - 560085",Banashankari,Bengaluru Urban,BLRU,560085,Ward-182,South,Machine Tools,Manufacturing,2819,Orange,,,,,,2021-05-12,2024-07-09,DORMANT,8,500+,2026-01-26,pan_hash;gstin_hash;phone;email
KAR-SHOP-BLRU-2018-000070,SHOP,Karnataka Shops and Commercial Establishments,ENT-00101,Srinidhi Enterprises,,Owner A,"No 195, B Behind Metro, Banashankari, Bangalore Urban, K'taka - 560085",Banashankari,Bengaluru Urban,BLRU,560085,Ward-182,South,Machine Tools,Manufacturing,2819,Orange,,,,,contact0101@examplebiz.in,2018-09-08,2024-05-28,CLOSED,8,500+,2025-11-10,pan_hash;gstin_hash;phone
GST-KA-TUM-2020-000076,GST,GST Taxpayer Registry,ENT-00102,SHARMA CNC ENTERPRISES,Sharma CNC Enterprises,Director Masked,"#68, A Mn Rd, Antharasanahalli Indl Area, Tumakuru, KA - 572106",Antharasanahalli Industrial Area,Tumakuru,TUM,572106,Ward-T12,Tumakuru,Machine Tools,Manufacturing,2819,Orange,PAN_CF3D72FC68ACC925,GSTIN_D9A2F57AD6276796,UDYAM_3F8156D82D9F3F20,9000807875,,2020-09-25,2021-09-10,CLOSED,12,0-10,2025-11-26,email
PCB/TUM/CTE/2023/00044,KSPCB,Karnataka State Pollution Control Board,ENT-00102,M/S Sharma CNC Enterprises,Sharma CNC Enterprises,Partner 1,"No 68, A Main Rd, Antharasanahalli Industrial Area, Tumakuru, K'taka - 572106",Antharasanahalli Industrial Area,Tumakuru,TUM,572106,Ward-T12,Tumakuru,Machine Tools,Manufacturing,2819,Orange,PAN_CF3D72FC68ACC925,,,,,2023-03-28,2024-05-26,DORMANT,12,,2026-01-30,gstin_hash;phone;email
LAB-KA-TUM-2016-000047,LABOUR,Labour Department,ENT-00102,Sharma CNC Enterprises,Sharma CNC Enterprises,Owner B,"#68, A Mn Rd, Antharasanahalli Industrial Estate, Tumakuru, K'taka - 572106",Antharasanahalli Industrial Area,Tumakuru,TUM,572106,Ward-T12,Tumakuru,Machine Tools,Manufacturing,2819,Orange,PAN_CF3D72FC68ACC925,,,,,2016-03-27,2020-03-12,CLOSED,12,0-10,2026-03-28,gstin_hash;phone;email
KAR-SHOP-TUM-2021-000071,SHOP,Karnataka Shops and Commercial Establishments,ENT-00102,Sharma CNC Entp,,Owner B,"No 68, A Main Rd, Antharasanahalli Industrial Estate, Tumakuru, K'taka - 572106",Antharasanahalli Industrial Area,Tumakuru,TUM,572106,Ward-T12,Tumakuru,Machine Tools,Manufacturing,2819,Orange,,,,,,2021-05-15,2024-03-07,DORMANT,12,,2026-01-05,pan_hash;gstin_hash;phone;email
UDYAM-KR-TUM-2024-000050,UDYAM,Udyam / MSME Registry,ENT-00102,Sharma CNC Enterprises,Sharma CNC Enterprises,,"No. 68, A Mn Rd, Antharasanahalli Industrial Area, Tumakuru, Karnataka - 572106",Antharasanahalli Industrial Area,Tumakuru,TUM,572106,Ward-T12,Tumakuru,Machine Tools,Manufacturing,2819,Orange,PAN_CF3D72FC68ACC925,,UDYAM_3F8156D82D9F3F20,9000807875,,2024-11-25,2025-04-21,DORMANT,12,0-10,2025-11-26,gstin_hash;email
BBMP-TL-YELA-2017-000038,BBMP,BBMP Trade Licence,ENT-00103,Aditya Garments Industries,Aditya Garments Industries,Owner B,"90, Plot Main Road, Yelahanka, Bangalore Urban, K'taka - 560064",Yelahanka,Bengaluru Urban,BLRU,560064,Ward-004,Yelahanka,Textile / Garments,Manufacturing,1410,Green,PAN_AAFF359F4A465DD0,,,,contact0103@examplebiz.in,2017-11-20,2024-10-19,DORMANT,5,,2025-12-02,gstin_hash;phone
GST-KA-BLRU-2024-000077,GST,GST Taxpayer Registry,ENT-00103,ADITYA GARMENTS INDUSTRIES,Aditya Garments Industries,Owner A,"No 90, Plot Main Road, Yelahanka, B'luru Urban, KA - 560064",Yelahanka,Bengaluru Urban,BLRU,560064,Ward-004,Yelahanka,Textile / Garments,Manufacturing,1410,Green,PAN_AAFF359F4A465DD0,GSTIN_690CD349B1174245,,,,2024-09-09,2025-08-18,ACTIVE,5,100-500,2025-12-10,phone;email
LAB-KA-BLRU-2018-000048,LABOUR,Labour Department,ENT-00103,Aditya Garments Industries,Aditya Garments Industries,,"No 90, Plot Main Rd, Yelahanka, Bangalore Urban, KA - 560064",Yelahanka,Bengaluru Urban,BLRU,560064,Ward-004,Yelahanka,Textile / Garments,Manufacturing,1410,Green,PAN_AAFF359F4A465DD0,GSTIN_690CD349B1174245,,,,2018-10-26,2022-03-21,CLOSED,5,100-500,2026-02-02,phone;email
BBMP-TL-BOMM-2019-000039,BBMP,BBMP Trade Licence,ENT-00104,Navya Printers Traders,Navya Printers Traders,,"No 18, Shed Main Road, Electronic City, Bangalore Urban, KA - 560100",Electronic City,Bengaluru Urban,BLRU,560100,Ward-192,Bommanahalli,Printing / Packaging,Manufacturing,1811,Orange,,,,,,2019-06-07,2020-10-22,CLOSED,,25-50,2025-11-13,pan_hash;gstin_hash;phone;email
KFBIS-FAC-BLRU-2015-000051,FACTORY,"Factories, Boilers, Industrial Safety and Health",ENT-00104,Navya Printers Traders,Navya Printers Traders,,"#18, Shed Main Road, Electronic City, Bangalore Urban, K'taka - 560100",Electronic City,Bengaluru Urban,BLRU,560100,Ward-192,Bommanahalli,Printing / Packaging,Manufacturing,1811,Orange,PAN_0EA235E6595FDA7C,,,9000823713,,2015-03-29,2022-01-08,CLOSED,5,,2026-03-08,gstin_hash;email
GST-KA-BLRU-2020-000078,GST,GST Taxpayer Registry,ENT-00104,M/S Navya Printers Traders,,Owner A,"No 18, Shed Main Road, Electronic City, Bangalore Urban, Karnataka - 560100",Electronic City,Bengaluru Urban,BLRU,560100,Ward-192,Bommanahalli,Printing / Packaging,Manufacturing,1811,Orange,PAN_0EA235E6595FDA7C,GSTIN_F472A00481267E66,,,,2020-09-09,2021-02-24,CLOSED,,,2026-04-24,phone;email
PCB/BLRU/CTE/2021/00045,KSPCB,Karnataka State Pollution Control Board,ENT-00104,Navya Printers Traders,Navya Printers Traders,Managing Partner,"No. 18, Shed Main Road, Electronic City, Bengaluru Urban, K'taka - 560100",Electronic City,Bengaluru Urban,BLRU,560100,Ward-192,Bommanahalli,Printing / Packaging,Manufacturing,1811,Orange,,GSTIN_F472A00481267E66,,9000823713,,2021-05-29,2025-08-12,CLOSED,,25-50,2026-03-20,pan_hash;email
LAB-KA-BLRU-2018-000049,LABOUR,Labour Department,ENT-00104,Navya Printers Traders,Navya Printers Traders,,"#18, Shed Mn Rd, Electronic City, B'luru Urban, Karnataka - 560100",Electronic City,Bengaluru Urban,BLRU,560100,Ward-192,Bommanahalli,Printing / Packaging,Manufacturing,1811,Orange,PAN_0EA235E6595FDA7C,,,9000823713,,2018-11-15,2020-09-05,CLOSED,,25-50,2025-12-01,gstin_hash;email
KAR-SHOP-BLRU-2019-000072,SHOP,Karnataka Shops and Commercial Establishments,ENT-00104,Navya Printers Traders,Navya Printers Traders,Director Masked,"#18, Shed Main Rd, Electronic City, Bangalore Urban, K'taka - 560100",Electronic City,Bengaluru Urban,BLRU,560100,Ward-192,Bommanahalli,Printing / Packaging,Manufacturing,1811,Orange,,,,,,2019-04-24,2023-06-23,DORMANT,5,25-50,2026-01-30,pan_hash;gstin_hash;phone;email
KFBIS-FAC-BLRU-2022-000052,FACTORY,"Factories, Boilers, Industrial Safety and Health",ENT-00105,Kaveri Pvt Ltd,Kaveri,Partner 1,"No. 86, Behind Metro, BTM Layout, Bengaluru Urban, K'taka - 560029",BTM Layout,Bengaluru Urban,BLRU,560029,Ward-176,South,Plastic Moulding,Manufacturing,2220,Red,PAN_45FE265FDFB35DE8,,,,,2022-05-09,2023-12-10,DORMANT,18,,2026-02-19,gstin_hash;phone;email
GST-KA-BLRU-2021-000079,GST,GST Taxpayer Registry,ENT-00105,Kaveri Pvt Ltd,M/S Kaveri,Director Masked,"#86, Behind Metro, BTM Layout, Bangalore Urban, KA - 560029",BTM Layout,Bengaluru Urban,BLRU,560029,Ward-176,South,Plastic Moulding,Manufacturing,2220,Red,PAN_45FE265FDFB35DE8,GSTIN_EB267CF53746D512,,,,2021-02-16,2022-06-16,CLOSED,,10-25,2025-12-09,phone;email
PCB/BLRU/CTO/2022/00046,KSPCB,Karnataka State Pollution Control Board,ENT-00105,Kaveri Pvt Ltd,,Owner B,"No 86, Behind Metro, BTM Layout, Bangalore Urban, KA - 560029",BTM Layout,Bengaluru Urban,BLRU,560029,Ward-176,South,Plastic Moulding,Manufacturing,2220,Red,,GSTIN_EB267CF53746D512,,,,2022-07-02,2022-08-11,CLOSED,18,10-25,2025-11-21,pan_hash;phone;email
UDYAM-KR-BLRU-2017-000051,UDYAM,Udyam / MSME Registry,ENT-00105,M/S Kaveri Pvt Ltd,Kaveri,Owner B,"No. 86, Behind Metro, BTM Layout, B'luru Urban, KA",BTM Layout,Bengaluru Urban,BLRU,560029,Ward-176,South,Plastic Moulding,Manufacturing,2220,Red,PAN_45FE265FDFB35DE8,,UDYAM_5EBF7B700AED988D,,,2017-05-05,2024-12-15,DORMANT,,,2025-11-21,gstin_hash;phone;email
BBMP-TL-BENG-2017-000040,BBMP,BBMP Trade Licence,ENT-00106,Naveen Stores LLP,,Partner 1,"No. 237, A Service Road, Hoskote, Bangalore Rural, KA - 562114",Hoskote,Bengaluru Rural,BLRR,562114,Ward-R04,Bengaluru Rural,Logistics / Warehouse,Service,5210,Green,,,,,contact0106@examplebiz.in,2017-05-05,2018-08-12,CLOSED,5,0-10,2025-12-08,pan_hash;gstin_hash;phone
LAB-KA-BLRR-2024-000050,LABOUR,Labour Department,ENT-00106,Naveen Stores LLP,M/S Naveen Stores,Partner 1,"No. 237, A Service Road, Hoskote, B'luru Rural, Karnataka - 562114",Hoskote,Bengaluru Rural,BLRR,561203,Ward-R04,Bengaluru Rural,Logistics / Warehouse,Service,5210,Green,PAN_AC622BC4E03021C2,,,9000839551,contact0106@examplebiz.in,2024-02-24,2024-11-21,DORMANT,,0-10,2026-01-08,gstin_hash;pin_drift
LAB-KA-MYS-2024-000051,LABOUR,Labour Department,ENT-00107,Harsha Inds,Harsha Industries,Partner 1,"#45, Extension, Devaraja Mohalla, Mysuru, Karnataka - 570001",Devaraja Mohalla,Mysuru,MYS,570001,Ward-M01,Central,Printing / Packaging,Manufacturing,1811,Orange,,GSTIN_FC9EA718D4611229,,,,2024-02-08,2025-04-11,DORMANT,4,500+,2026-03-23,pan_hash;phone;email
KAR-SHOP-MYS-2015-000073,SHOP,Karnataka Shops and Commercial Establishments,ENT-00107,M/S Harsha Industries,Harsha Inds,Owner A,"#45, Extension, Devaraja Mohalla, Mysuru, KA - 570001",Devaraja Mohalla,Mysuru,MYS,570001,Ward-M01,Central,Printing / Packaging,Manufacturing,1811,Orange,,,,,,2015-09-21,2020-08-08,CLOSED,4,500+,2026-02-10,pan_hash;gstin_hash;phone;email
UDYAM-KR-MYS-2018-000052,UDYAM,Udyam / MSME Registry,ENT-00107,Harsha Industries,,Director Masked,"No 45, Extension, Devaraja Mohalla, Mysuru, K'taka - 570001",Devaraja Mohalla,Mysuru,MYS,570001,Ward-M01,Central,Printing / Packaging,Manufacturing,1811,Orange,PAN_4E5246BB5DDF018D,,,,,2018-04-07,2024-07-15,DORMANT,4,,2026-01-28,gstin_hash;phone;email
