labour_registration_no,establishment_name,principal_employer_masked,address,district,pin_code,worker_count,registration_date,last_return_filed_date,status,phone,pan_hash,gstin_hash,source_record_id,entity_id_ground_truth
LAB-KA-BLRU-2024-000096,Meghana Moulding Industries,Partner 1,"No. 26, B Extension, Peenya Industrial Estate, Bangalore Urban, Karnataka - 560058",Bengaluru Urban,560058,,2024-08-09,2026-03-18,ACTIVE,,,,LAB-KA-BLRU-2024-000096,ENT-00195
LAB-KA-BLRU-2019-000097,M/S Sri Foods Company,,"#116, B Extension, Electronic City, Bengaluru Urban, K'taka",Bengaluru Urban,560100,85,2019-01-10,2020-01-13,CLOSED,9001552261,,,LAB-KA-BLRU-2019-000097,ENT-00196
LAB-KA-BLRR-2023-000098,Udupi Electronics LP,,"#192, C Industrial Layout, Devanahalli, Bengaluru Rural, Karnataka - 562110",Bengaluru Rural,562110,3,2023-05-13,2024-01-29,DORMANT,,PAN_18ED267DC38F0CDD,,LAB-KA-BLRR-2023-000098,ENT-00199
LAB-KA-MYS-2016-000099,Harsha Meals Associates,Managing Partner,"No. 175, B 3rd Phase, Nanjangud Road, Mysuru, KA - 570018",Mysuru,570018,4,2016-03-06,2020-03-14,CLOSED,9001591856,,,LAB-KA-MYS-2016-000099,ENT-00201
LAB-KA-BLRR-2025-000100,Veda Associates,,"85, A Extension, Bagalur, Bengaluru Rural, KA - 562157",Bengaluru Rural,562157,12,2025-04-17,2025-10-16,ACTIVE,9001631451,,,LAB-KA-BLRR-2025-000100,ENT-00206
LAB-KA-BLRU-2016-000101,Deccan Coatings Associates,Managing Partner,"59, Plot Behind Metro, HSR Layout, Bengaluru Urban, KA - 560102",Bengaluru Urban,560102,3,2016-03-31,2022-02-07,CLOSED,9001639370,,,LAB-KA-BLRU-2016-000101,ENT-00207
LAB-KA-BLRU-2019-000102,Ananya Circuits Enterprises,Director Masked,"No 235, 1st Cr, Banashankari, B'luru Urban, KA - 560085",Bengaluru Urban,560085,,2019-05-18,2020-07-22,CLOSED,9001655208,,,LAB-KA-BLRU-2019-000102,ENT-00209
LAB-KA-TUM-2016-000103,Udupi Sstems Traders,,"No 203, Main Road, BH Road, Tumakuru, K'taka - 572101",Tumakuru,572101,3,2016-03-23,2023-05-04,DORMANT,9001671046,PAN_FC237A66E9A54724,,LAB-KA-TUM-2016-000103,ENT-00211
LAB-KA-BLRU-2015-000104,Bangalore Snacks LLP,Director Masked,"#244, B Main Rd, Jayanagar, Bangalore Urban, KA - 560078",Bengaluru Urban,560078,10,2015-10-29,2020-10-21,CLOSED,,,,LAB-KA-BLRU-2015-000104,ENT-00213
LAB-KA-BLRU-2021-000105,Srinidhi Works,,"No 7, D Sector, Kalyan Nagar, B'luru Urban, K'taka - 560043",Bengaluru Urban,560043,,2021-04-22,2021-08-12,CLOSED,9001694803,,GSTIN_9C2B344644741C14,LAB-KA-BLRU-2021-000105,ENT-00214
LAB-KA-BLRU-2021-000106,M/S Ananya Resins Industries,Owner A,"#53, D Service Road, Yelahanka, Bengaluru Urban, KA - 560064",Bengaluru Urban,560064,12,2021-04-26,2026-03-29,ACTIVE,,,GSTIN_E5B0444A3946F106,LAB-KA-BLRU-2021-000106,ENT-00215
LAB-KA-BLRU-2023-000107,Siddhi Industries,Partner 1,"No. 135, Near Bus Stop, BTM Layout, Bangalore Urban, K'taka - 560029",Bengaluru Urban,560029,,2023-05-29,2026-04-29,ACTIVE,9001718560,,,LAB-KA-BLRU-2023-000107,ENT-00217
LAB-KA-BLRU-2023-000108,Ananya Electronics Co,Owner A,"No 292, Mn Rd, BTM Layout, B'luru Urban, KA - 560029",Bengaluru Urban,560029,36,2023-10-06,2024-01-05,DORMANT,,PAN_3639AC227DB5FAF1,,LAB-KA-BLRU-2023-000108,ENT-00218
LAB-KA-BLRR-2023-000109,Navya Precision Traders,Managing Partner,"No. 13, Plot Extension, Bagalur, B'luru Rural, Karnataka",Bengaluru Rural,562157,2,2023-11-24,2024-05-30,DORMANT,9001734398,,,LAB-KA-BLRR-2023-000109,ENT-00219
LAB-KA-BLRU-2016-000110,M/S Lakshmi Works,Managing Partner,"No. 72, 2nd Main, Banashankari, B'luru Urban, KA - 560085",Bengaluru Urban,560085,2,2016-05-01,2024-01-21,CLOSED,,,,LAB-KA-BLRU-2016-000110,ENT-00221
LAB-KA-MYS-2019-000111,Varun Mold LLP,Owner B,"#19, B Industrial Layout, Hebbal Industrial Area, Mysuru, K'taka - 570016",Mysuru,570016,180,2019-01-30,2021-01-28,CLOSED,,,,LAB-KA-MYS-2019-000111,ENT-00223
LAB-KA-BLRU-2022-000112,Ravi Logistics Solutions,Owner A,"#228, C Industrial Layout, Bannerghatta Road, Bangalore Urban, Karnataka - 560076",Bengaluru Urban,560076,,2022-08-15,2023-11-05,DORMANT,9001773993,,,LAB-KA-BLRU-2022-000112,ENT-00224
LAB-KA-BLRU-2017-000113,Asha Enterprises,Owner A,"#274, B 2nd Main, Whitefield, Bangalore Urban, K'taka - 560037",Bengaluru Urban,560037,,2017-05-13,2019-06-29,CLOSED,,,,LAB-KA-BLRU-2017-000113,ENT-00225
LAB-KA-BLRU-2019-000114,Sree Tools LLP,,"245, Mn Rd, Whitefield Mn Rd, Bangalore Urban, K'taka - 560066",Bengaluru Urban,560066,120,2019-08-29,2021-04-14,CLOSED,,PAN_2D9B0A600CB57046,,LAB-KA-BLRU-2019-000114,ENT-00226
LAB-KA-BLRU-2016-000115,Harsha LLP,Managing Partner,"#77, Shed Industrial Layout, Koramangala, B'luru Urban, KA - 560034",Bengaluru Urban,560034,18,2016-10-13,2023-04-29,CLOSED,9001797750,,,LAB-KA-BLRU-2016-000115,ENT-00227
LAB-KA-TUM-2024-000116,Lakshmi Medical LLP,Owner B,"No 257, A Near Bus Stop, BH Road, Tumakuru, KA - 572101",Tumakuru,572101,8,2024-09-22,2025-08-28,CLOSED,9001813588,,,LAB-KA-TUM-2024-000116,ENT-00229
LAB-KA-TUM-2019-000117,Veda LLP,Partner 1,"#243, Plot 3rd Phase, BH Road, Tumakuru, K'taka - 572101",Tumakuru,572106,120,2019-02-12,2022-12-26,CLOSED,,PAN_683001A870C92F4E,GSTIN_F61B7698CC768FAA,LAB-KA-TUM-2019-000117,ENT-00231
LAB-KA-BLRR-2023-000118,Aditya Tech Enterprises,Owner B,"No 150, C 1st Cr, Bagalur, B'luru Rural, K'taka - 562157",Bengaluru Rural,562157,4,2023-09-14,2024-01-04,DORMANT,,,,LAB-KA-BLRR-2023-000118,ENT-00232
LAB-KA-BLRU-2024-000119,Sahana Industries,Owner B,"149, B Main Road, Bannerghatta Road, Bengaluru Urban, KA - 560076",Bengaluru Urban,560076,12,2024-02-09,2026-02-05,ACTIVE,,,GSTIN_18133BB07F6F59F4,LAB-KA-BLRU-2024-000119,ENT-00235
LAB-KA-BLRU-2021-000120,Mysore Biryani Associates,Owner A,"No 96, D 2nd Main, Whitefield Main Road, B'luru Urban, K'taka - 560066",Bengaluru Urban,560066,85,2021-12-05,2022-11-06,CLOSED,,PAN_16C15F0E7DD2714D,,LAB-KA-BLRU-2021-000120,ENT-00241
LAB-KA-BLRU-2019-000121,Veda Precision Company,Partner 1,"No. 268, D 1st Crs, Peenya Indl Area, B'luru Urban, Karnataka - 560058",Bengaluru Urban,560058,3,2019-12-15,2020-08-25,CLOSED,,,,LAB-KA-BLRU-2019-000121,ENT-00248
LAB-KA-BLRU-2020-000122,M/S Aarohi Graphics Solutions,Director Masked,"No. 103, C 3rd Phase, Yelahanka, Bengaluru Urban, KA - 560064",Bengaluru Urban,560064,120,2020-09-16,2025-02-19,DORMANT,9001979887,PAN_D8F6EEA1263F3207,,LAB-KA-BLRU-2020-000122,ENT-00250
LAB-KA-BLRU-2025-000123,Prakruthi Clinic Pvt. Ltd.,Managing Partner,"#125, B Behind Metro, HSR Layout, B'luru Urban, K'taka - 560102",Bengaluru Urban,560102,120,2025-02-09,2025-05-28,ACTIVE,,,,LAB-KA-BLRU-2025-000123,ENT-00251
LAB-KA-BLRU-2025-000124,Sharma LLP,Managing Partner,"#190, Plot Industrial Layout, Peenya Indl Area, Bengaluru Urban, Karnataka - 560058",Bengaluru Urban,560058,3,2025-02-20,2025-08-24,ACTIVE,,,,LAB-KA-BLRU-2025-000124,ENT-00255
LAB-KA-BLRR-2024-000125,Navya Mold LLP,,"234, B 1st Cross, Hoskote, Bangalore Rural, KA - 562114",Bengaluru Rural,562114,,2024-09-10,2024-10-13,DORMANT,9002027401,PAN_D6113C83B5A9C187,,LAB-KA-BLRR-2024-000125,ENT-00256
LAB-KA-BLRU-2015-000126,Vijaya Industries Works,Director Masked,"No. 15, Shed 3rd Phase, Jayanagar, B'luru Urban, K'taka - 560078",Bengaluru Urban,560078,36,2015-12-18,2022-07-23,CLOSED,,PAN_C7CA821D673ADC5F,,LAB-KA-BLRU-2015-000126,ENT-00258
LAB-KA-BLRU-2018-000127,Veda Logistics Works,Director Masked,"#252, B 3rd Phase, Bannerghatta Road, B'luru Urban, KA - 560076",Bengaluru Urban,560076,10,2018-01-09,2020-07-28,CLOSED,,,,LAB-KA-BLRU-2018-000127,ENT-00259
LAB-KA-MYS-2020-000128,Aditya Polymers Associates,Owner A,"#95, Plot Main Road, Devaraja Mohalla, Mysuru, KA - 570001",Mysuru,570001,36,2020-06-28,2024-03-15,DORMANT,,PAN_C84986319AF8A1A5,GSTIN_1AB7459A556312B2,LAB-KA-MYS-2020-000128,ENT-00263
LAB-KA-BLRR-2019-000129,Sharma Textiles Pvt Ltd,,"#67, D Industrial Layout, Hoskote, Bengaluru Rural, K'taka - 562114",Bengaluru Rural,562114,120,2019-08-27,2022-08-27,CLOSED,,,,LAB-KA-BLRR-2019-000129,ENT-00265
LAB-KA-BLRR-2025-000130,Harsha Meals Industries,Owner B,"No. 284, B Industrial Layout, Bagalur, Bangalore Rural, K'taka - 562157",Bengaluru Rural,562157,,2025-08-31,2025-11-14,ACTIVE,,PAN_EE09313F3919CA88,,LAB-KA-BLRR-2025-000130,ENT-00267
LAB-KA-BLRU-2020-000131,M/S Vijaya Moulding Solutions,Owner A,"No. 117, Sector, Whitefield Main Rd, Bengaluru Urban, KA - 560066",Bengaluru Urban,560066,,2020-09-22,2021-10-05,CLOSED,9002122429,,,LAB-KA-BLRU-2020-000131,ENT-00268
LAB-KA-BLRU-2018-000132,Nisarga Printers Pvt Ltd,Director Masked,"209, B 1st Cross, Whitefield Mn Rd, B'luru Urban, KA - 560066",Bengaluru Urban,560066,,2018-10-13,2020-01-17,CLOSED,,,,LAB-KA-BLRU-2018-000132,ENT-00269
LAB-KA-BLRU-2020-000133,Ananya Cafe Enterprises,,"No. 244, Shed 3rd Phase, Peenya Industrial Area, Bengaluru Urban, Karnataka - 560058",Bengaluru Urban,560058,5,2020-07-06,2022-09-20,CLOSED,9002138267,,,LAB-KA-BLRU-2020-000133,ENT-00270
LAB-KA-BLRU-2024-000134,Omkar Mold Traders,Managing Partner,"60, A 1st Crs, BTM Layout, Bengaluru Urban, KA",Bengaluru Urban,560029,,2024-07-28,2025-07-08,ACTIVE,,,,LAB-KA-BLRU-2024-000134,ENT-00276
LAB-KA-MYS-2023-000135,Omkar Coatings Pvt. Ltd.,Owner B,"No 22, D Main Rd, Hebbal Industrial Estate, Mysuru, Karnataka",Mysuru,570016,180,2023-08-14,2025-05-06,ACTIVE,,PAN_AF43DCE1AC1387A9,,LAB-KA-MYS-2023-000135,ENT-00282
LAB-KA-BLRU-2022-000136,M/S Aditya Meds Co,Managing Partner,"No. 110, C Behind Metro, Hebbal, B'luru Urban, K'taka - 560024",Bengaluru Urban,560024,,2022-05-13,2023-02-15,CLOSED,9002241214,PAN_1BFB605BF7BD8035,,LAB-KA-BLRU-2022-000136,ENT-00283
LAB-KA-MYS-2021-000137,M/S Prakruthi Packaging Enterprises,Owner A,"45, Plot Extension, Devaraja Mohalla, Mysuru, K'taka - 570001",Mysuru,570001,,2021-12-04,2024-09-21,DORMANT,,PAN_738A4D73B7A3D9C6,,LAB-KA-MYS-2021-000137,ENT-00284
LAB-KA-BLRU-2025-000138,M/S Ananya Chem Industries,Managing Partner,"221, B 3rd Phase, Rajajinagar Industrial Suburb, B'luru Urban, K'taka - 560059",Bengaluru Urban,560059,85,2025-10-16,2026-01-04,ACTIVE,9002257052,PAN_38445CC051FC66AE,,LAB-KA-BLRU-2025-000138,ENT-00285
LAB-KA-BLRU-2022-000139,M/S Harsha Works,Owner B,"#274, Plot Sector, Yelahanka, Bengaluru Urban, K'taka - 560064",Bengaluru Urban,560064,,2022-10-14,2023-11-18,DORMANT,9002264971,,,LAB-KA-BLRU-2022-000139,ENT-00286
LAB-KA-BLRU-2025-000140,Prakruthi Packaging Works,,"107, D 3rd Phase, Kalyan Nagar, B'luru Urban, KA - 560043",Bengaluru Urban,560043,,2025-12-20,2026-02-24,ACTIVE,9002272890,,,LAB-KA-BLRU-2025-000140,ENT-00287
LAB-KA-BLRU-2022-000141,Aarohi Bakery Associates,Owner A,"#14, Shed Behind Metro, Bannerghatta Road, Bangalore Urban, Karnataka - 560076",Bengaluru Urban,560076,5,2022-07-31,2025-05-17,ACTIVE,9002288728,,,LAB-KA-BLRU-2022-000141,ENT-00289
LAB-KA-BLRU-2018-000142,Siddhi WorksEnterprises,Managing Partner,"#7, C Mn Rd, Bannerghatta Road, B'luru Urban, K'taka - 560076",Bengaluru Urban,560076,18,2018-02-13,2018-07-03,CLOSED,,,,LAB-KA-BLRU-2018-000142,ENT-00293
LAB-KA-BLRR-2016-000143,M/S Nandi Tools Co,Partner 1,"#158, Industrial Layout, Doddaballapura, B'luru Rural, Karnataka - 561203",Bengaluru Rural,561203,25,2016-06-15,2016-12-16,CLOSED,9002328323,,,LAB-KA-BLRR-2016-000143,ENT-00294
LAB-KA-BLRU-2018-000144,Veda Apparels Company,Owner A,"No 235, Behind Metro, Peenya Indl Area, B'luru Urban, KA - 560058",Bengaluru Urban,560058,85,2018-06-28,2024-03-01,DORMANT,,,,LAB-KA-BLRU-2018-000144,ENT-00296
LAB-KA-BLRU-2023-000145,Mysore Health Industries,Owner A,"No 234, Shed Near Bus Stop, Bommanahalli, Bengaluru Urban, Karnataka - 560068",Bengaluru Urban,560068,,2023-01-19,2024-02-19,DORMANT,,PAN_308BE40192FDD51E,,LAB-KA-BLRU-2023-000145,ENT-00297
LAB-KA-BLRU-2022-000146,Vijaya Fashions Pvt Ltd,Owner B,"No 216, C Mn Rd, Yelahanka, Bangalore Urban, K'taka - 560064",Bengaluru Urban,560064,,2022-10-21,2024-10-24,CLOSED,,,,LAB-KA-BLRU-2022-000146,ENT-00301
LAB-KA-BLRU-2019-000147,M/S Kaveri Wear Works,Director Masked,"No. 12, A Sector, Rajajinagar Industrial Suburb, Bangalore Urban, Karnataka - 560059",Bengaluru Urban,560059,,2019-04-19,2022-11-17,CLOSED,,PAN_A130EDFFBA2977DA,,LAB-KA-BLRU-2019-000147,ENT-00302
LAB-KA-MYS-2022-000148,M/S Prakruthi Stores LLP,,"#202, Plot 2nd Main, Hebbal Indl Area, Mysuru, KA - 570016",Mysuru,570016,12,2022-08-24,2024-10-13,DORMANT,,,GSTIN_AF6DD81B25849C26,LAB-KA-MYS-2022-000148,ENT-00303
LAB-KA-BLRU-2019-000149,Nandi MouldingCo,Owner B,"No. 170, B Near Bus Stop, MG Road, Bangalore Urban, Karnataka - 560001",Bengaluru Urban,560001,36,2019-09-04,2023-06-18,DORMANT,,,GSTIN_4921394781DD0620,LAB-KA-BLRU-2019-000149,ENT-00306
LAB-KA-BLRU-2020-000150,Udupi Cafe Pvt Ltd,Owner A,"#172, B Sector, HSR Layout, Bengaluru Urban, KA - 560102",Bengaluru Urban,560102,3,2020-08-06,2025-09-14,ACTIVE,9002431270,PAN_2E782F96A8964532,GSTIN_72EF44158266CEBF,LAB-KA-BLRU-2020-000150,ENT-00307
LAB-KA-TUM-2021-000151,Sree Tech Associates,Owner A,"#285, B Industrial Layout, Antharasanahalli Indl Area, Tumakuru, K'taka - 572106",Tumakuru,572106,10,2021-03-02,2021-12-06,CLOSED,,,,LAB-KA-TUM-2021-000151,ENT-00310
LAB-KA-BLRU-2023-000152,Naveen Printers Solutions,Owner A,"69, Extension, Rajajinagar Industrial Suburb, Bengaluru Urban, K'taka - 560059",Bengaluru Urban,560059,52,2023-02-23,2023-08-25,DORMANT,9002470865,,,LAB-KA-BLRU-2023-000152,ENT-00312
LAB-KA-BLRU-2025-000153,Srinidhi Labels Company,Director Masked,"#72, C 2nd Main, Koramangala, Bangalore Urban, K'taka - 560034",Bengaluru Urban,560034,52,2025-05-26,2026-01-17,ACTIVE,,,,LAB-KA-BLRU-2025-000153,ENT-00314
LAB-KA-BLRU-2018-000154,Kaveri Coatings Solutions,Owner A,"No. 257, A Main Road, Yelahanka, Bengaluru Urban, KA - 560064",Bengaluru Urban,560064,4,2018-04-25,2022-07-26,CLOSED,,,,LAB-KA-BLRU-2018-000154,ENT-00315
LAB-KA-BLRU-2023-000155,Ganesh Coatings LLP,Owner A,"#159, Behind Metro, Koramangala, Bengaluru Urban, KA - 560034",Bengaluru Urban,560034,85,2023-06-26,2026-02-21,ACTIVE,,,,LAB-KA-BLRU-2023-000155,ENT-00316
LAB-KA-BLRU-2021-000156,Nisarga Labels Pvt Ltd,Managing Partner,"No. 288, Plot Main Road, Whitefield, Bengaluru Urban, KA - 560037",Bengaluru Urban,560037,10,2021-09-22,2023-10-09,DORMANT,9002510460,,,LAB-KA-BLRU-2021-000156,ENT-00317
LAB-KA-BLRU-2024-000157,M/S Ganesh Medical Solutions,Owner B,"No 213, Plot 1st Cr, Banashankari, Bangalore Urban, KA - 560085",Bengaluru Urban,560085,180,2024-06-06,2026-02-25,ACTIVE,,,,LAB-KA-BLRU-2024-000157,ENT-00319
LAB-KA-BLRR-2025-000158,Navya Industrial Co,,"No. 203, D Extension, Devanahalli, B'luru Rural, Karnataka - 562110",Bengaluru Rural,562110,180,2025-01-23,2025-12-25,ACTIVE,,,,LAB-KA-BLRR-2025-000158,ENT-00320
LAB-KA-BLRU-2018-000159,Sree Enterprises,Owner A,"No 132, B Service Road, Electronic City, Bangalore Urban, Karnataka - 560100",Bengaluru Urban,560100,8,2018-01-19,2019-08-16,CLOSED,,,,LAB-KA-BLRU-2018-000159,ENT-00323
LAB-KA-BLRU-2018-000160,M/S Naveen Medical Solutions,Owner A,"No 158, Extension, HSR Layout, B'luru Urban, KA - 560102",Bengaluru Urban,560102,52,2018-08-16,2019-07-10,CLOSED,9002573812,,,LAB-KA-BLRU-2018-000160,ENT-00325
