trade_license_no,business_name,trade_type,address,ward,zone,pin_code,application_status,valid_from,valid_to,phone,gstin_hash,source_record_id,entity_id_ground_truth
BBMP-TL-MAHA-2022-000095,M/S Deccan Precision Co,Machine Tools,"#182, C Service Road, Whitefield Main Rd, B'luru Urban, K'taka - 560066",Ward-083,Mahadevapura,560066,Approved,2022-09-26,2027-07-31,,,BBMP-TL-MAHA-2022-000095,ENT-00249
BBMP-TL-BOMM-2015-000096,Prakruthi Clinic Pvt Ltd,Pharmacy / Medical Retail,"125, B Behind Metro, HSR Layout, B'luru Urban, KA - 560102",Ward-174,Bommanahalli,560102,Approved,2015-04-19,2026-11-22,,,BBMP-TL-BOMM-2015-000096,ENT-00251
BBMP-TL-SOUT-2021-000097,M/S Sree Pharma Pv Ltd,Pharmacy / Medical Retail,"#275, B 3rd Phase, Bommanahalli, B'luru Urban, KA - 560068",Ward-175,South,560068,Pending Inspection,2021-06-27,2028-01-20,,,BBMP-TL-SOUT-2021-000097,ENT-00252
BBMP-TL-BENG-2021-000098,Bangalore LLP,Pharmacy / Medical Retail,"227, A Service Road, Doddaballapura, B'luru Rural, KA - 561203",Ward-R09,Bengaluru Rural,562157,Expired,2021-02-13,2025-01-30,,,BBMP-TL-BENG-2021-000098,ENT-00253
BBMP-TL-NORT-2023-000099,Sinidhi LLP,Restaurant / Cafe,"#267, Shed Near Bus Stop, Hebbal Industrial Area, Mysuru, K'taka - 570016",Ward-M21,North,570016,Expired,2023-01-06,2025-06-03,,,BBMP-TL-NORT-2023-000099,ENT-00254
BBMP-TL-DASA-2018-000100,M/S Sharma LLP,Food Processing,"No 190, Plot Industrial Layout, Peenya Industrial Area, B'luru Urban, K'taka - 560058",Ward-038,Dasarahalli,560058,Expired,2018-10-16,2027-01-23,,,BBMP-TL-DASA-2018-000100,ENT-00255
BBMP-TL-YELA-2022-000101,Siddhi Enterprises,Logistics / Warehouse,"No. 73, Plot Sector, Yelahanka, Bengaluru Urban, KA - 560064",Ward-004,Yelahanka,560064,Pending Inspection,2022-10-25,2024-10-25,9002035320,GSTIN_1389FA7B5268E156,BBMP-TL-YELA-2022-000101,ENT-00257
BBMP-TL-SOUT-2015-000102,Veda Logistics Works,Logistics / Warehouse,"No 252, B 3rd Phase, Bannerghatta Road, Bangalore Urban, Karnataka - 560076",Ward-177,South,560076,Pending Inspection,2015-08-08,2026-01-20,,,BBMP-TL-SOUT-2015-000102,ENT-00259
BBMP-TL-BENG-2020-000103,Meghana Spices LLP,Food Processing,"#102, Industrial Layout, Hoskote, Bangalore Rural, Karnataka - 562114",Ward-R04,Bengaluru Rural,562114,Pending Inspection,2020-10-26,2027-06-30,9002074915,,BBMP-TL-BENG-2020-000103,ENT-00262
BBMP-TL-BENG-2016-000104,M/S Sharma Textiles Pvt Ltd,Textile / Garments,"No 67, D Industrial Layout, Hoskote, Bengaluru Rural, KA - 562114",Ward-R04,Bengaluru Rural,562114,Expired,2016-12-08,2027-08-23,,,BBMP-TL-BENG-2016-000104,ENT-00265
BBMP-TL-BOMM-2022-000105,Sree Print Co,Printing / Packaging,"No. 106, A Behind Metro, HSR Layout, Bengaluru Urban, Karnataka - 560102",Ward-174,Bommanahalli,560102,Renewal Due,2022-09-08,2026-07-26,9002106591,,BBMP-TL-BOMM-2022-000105,ENT-00266
BBMP-TL-BENG-2024-000106,Harsha Meals Industries,Restaurant / Cafe,"No 284, B Industrial Layout, Bagalur, Bangalore Rural, Karnataka - 562157",Ward-R07,Bengaluru Rural,562157,Expired,2024-09-20,2024-10-25,,,BBMP-TL-BENG-2024-000106,ENT-00267
BBMP-TL-MAHA-2018-000107,Nisarga Printers Pvt Ltd,Printing / Packaging,"209, B 1st Crs, Whitefield Main Road, Bangalore Urban, Karnataka",Ward-083,Mahadevapura,560066,Expired,2018-11-24,2027-01-16,,,BBMP-TL-MAHA-2018-000107,ENT-00269
BBMP-TL-DASA-2016-000108,M/S Ananya Cafe Enterprises,Restaurant / Cafe,"No. 244, Shed 3rd Phase, Peenya Indl Area, B'luru Urban, KA - 560058",Ward-038,Dasarahalli,560058,Renewal Due,2016-12-23,2027-09-21,,,BBMP-TL-DASA-2016-000108,ENT-00270
BBMP-TL-MAHA-2017-000109,Bangalore Traders,Pharmacy / Medical Retail,"No. 249, A Industrial Layout, Whitefield Main Road, B'luru Urban, K'taka",Ward-083,Mahadevapura,560066,Renewal Due,2017-03-18,2026-03-28,9002146186,,BBMP-TL-MAHA-2017-000109,ENT-00271
BBMP-TL-SOUT-2018-000110,Ganesh Care Company,Pharmacy / Medical Retail,"290, B 3rd Phase, Koramangala, Bangalore Urban, KA - 560034",Ward-151,South-East,560034,Pending Inspection,2018-04-10,2027-09-22,,,BBMP-TL-SOUT-2018-000110,ENT-00272
BBMP-TL-BENG-2024-000111,Omkar Cafe Indstries,Restaurant / Cafe,"#289, B 3rd Phase, Hoskote, Bengaluru Rural, Karnataka - 562114",Ward-R04,Bengaluru Rural,562114,Approved,2024-06-27,2024-11-04,,,BBMP-TL-BENG-2024-000111,ENT-00274
BBMP-TL-MAHA-2017-000112,Bharath Clinic Associates,Pharmacy / Medical Retail,"152, Shed 3rd Phase, Whitefield, B'luru Urban, Karnataka - 560037",Ward-085,Mahadevapura,560037,Approved,2017-08-12,2028-04-09,,GSTIN_B84409F57141E58D,BBMP-TL-MAHA-2017-000112,ENT-00277
BBMP-TL-NORT-2024-000113,M/S Nandi Meals Enterprises,Restaurant / Cafe,"No 47, C 3rd Phase, Hebbal Indl Area, Mysuru, Karnataka - 570016",Ward-M21,North,570016,Expired,2024-01-06,2026-06-01,,,BBMP-TL-NORT-2024-000113,ENT-00280
BBMP-TL-BENG-2020-000114,Navya Garments Works,Textile / Garments,"71, A Sector, Bagalur, B'luru Rural, KA - 562157",Ward-R07,Bengaluru Rural,562157,Renewal Due,2020-07-15,2025-07-01,9002225376,,BBMP-TL-BENG-2020-000114,ENT-00281
BBMP-TL-YELA-2025-000115,M/S Aditya Meds Co,Pharmacy / Medical Retail,"No 110, C Behind Metro, Hebbal, Bengaluru Urban, Karnataka - 560024",Ward-021,Yelahanka,560024,Approved,2025-11-29,2025-04-14,9002241214,,BBMP-TL-YELA-2025-000115,ENT-00283
BBMP-TL-CENT-2023-000116,Praruthi Packaging Entp,Printing / Packaging,"#45, Plot Extension, Devaraja Mohalla, Mysuru, K'taka - 570001",Ward-M01,Central,570001,Expired,2023-10-30,2027-12-13,,,BBMP-TL-CENT-2023-000116,ENT-00284
BBMP-TL-EAST-2024-000117,M/S Prakruthi Packaging Works,Restaurant / Cafe,"107, D 3rd Phase, Kalyan Nagar, Bangalore Urban, Karnataka - 560043",Ward-025,East,560043,Expired,2024-02-12,2025-11-21,9002272890,,BBMP-TL-EAST-2024-000117,ENT-00287
BBMP-TL-SOUT-2022-000118,Aarohi Bakery Associates,Food Processing,"#14, Shed Behind Metro, Bannerghatta Road, Bangalore Urban, K'taka",Ward-177,South,560076,Expired,2022-12-26,2028-01-07,,,BBMP-TL-SOUT-2022-000118,ENT-00289
BBMP-TL-BOMM-2019-000119,M/S Udupi Health Works,Pharmacy / Medical Retail,"#16, C Service Road, Electronic City, B'luru Urban, Karnataka - 560100",Ward-192,Bommanahalli,560100,Approved,2019-10-17,2026-06-02,,,BBMP-TL-BOMM-2019-000119,ENT-00292
BBMP-TL-BENG-2015-000120,Nandi Tools Co,Machine Tools,"158, Industrial Layout, Doddaballapura, B'luru Rural, K'taka - 561203",Ward-R09,Bengaluru Rural,561203,Expired,2015-11-27,2024-12-06,,,BBMP-TL-BENG-2015-000120,ENT-00294
BBMP-TL-YELA-2022-000121,Lakshmi Kitchen Pvt Ltd,Restaurant / Cafe,"No 91, A 1st Cr, Hebbal, Bengaluru Urban, Karnataka - 560024",Ward-021,Yelahanka,560024,Pending Inspection,2022-03-14,2025-08-17,9002336242,GSTIN_D99EB2967262E860,BBMP-TL-YELA-2022-000121,ENT-00295
BBMP-TL-DASA-2022-000122,Veda Apparels Company,Textile / Garments,"235, Behind Metro, Peenya Industrial Estate, B'luru Urban, K'taka - 560058",Ward-038,Dasarahalli,560058,Pending Inspection,2022-06-22,2027-12-07,,,BBMP-TL-DASA-2022-000122,ENT-00296
BBMP-TL-YELA-2022-000123,Vijaya Fashions Pvt Ltd,Textile / Garments,"No. 216, C Mn Rd, Yelahanka, Bengaluru Urban, K'taka - 560064",Ward-004,Yelahanka,560064,Pending Inspection,2022-02-18,2026-10-14,,,BBMP-TL-YELA-2022-000123,ENT-00301
BBMP-TL-SOUT-2019-000124,Naveen Kitchen Pvt Ltd,Restaurant / Cafe,"#268, D Industrial Layout, Jayanagar, Bangalore Urban, KA - 560078",Ward-168,South,560078,Expired,2019-11-08,2027-09-15,,,BBMP-TL-SOUT-2019-000124,ENT-00304
BBMP-TL-YELA-2015-000125,Omkar Health Entp,Pharmacy / Medical Retail,"149, D Service Road, Yelahanka, B'luru Urban, Karnataka - 560064",Ward-004,Yelahanka,560064,Renewal Due,2015-12-01,2026-10-06,9002415432,,BBMP-TL-YELA-2015-000125,ENT-00305
BBMP-TL-MAHA-2018-000126,Bangalore Industries LLP,Machine Tools,"104, D Extension, Whitefield Main Road, B'luru Urban, Karnataka - 560066",Ward-083,Mahadevapura,560066,Expired,2018-09-25,2028-03-06,9002462946,GSTIN_707D68C23B8283C4,BBMP-TL-MAHA-2018-000126,ENT-00311
BBMP-TL-WEST-2017-000127,Naveen Printers Solutions,Printing / Packaging,"No 69, Extension, Rajajinagar Industrial Suburb, Bengaluru Urban, KA - 560059",Ward-067,West,560059,Expired,2017-01-19,2027-08-25,9002470865,,BBMP-TL-WEST-2017-000127,ENT-00312
BBMP-TL-SOUT-2024-000128,M/S Nandi Foods Industries,Food Processing,"#60, C Sector, Nanjangud Road, Mysuru, Karnataka - 570018",Ward-M32,South,570018,Renewal Due,2024-11-24,2027-07-05,9002478784,,BBMP-TL-SOUT-2024-000128,ENT-00313
BBMP-TL-SOUT-2018-000129,Ganesh Medical Solutions,Pharmacy / Medical Retail,"#213, Plot 1st Cr, Banashankari, Bengaluru Urban, K'taka - 560085",Ward-182,South,560085,Expired,2018-03-27,2025-01-07,,,BBMP-TL-SOUT-2018-000129,ENT-00319
BBMP-TL-BOMM-2020-000130,Sree Enterprises,Chemical Blending,"No. 132, B Service Road, Electronic City, Bengaluru Urban, Karnataka - 560100",Ward-192,Bommanahalli,560100,Renewal Due,2020-02-20,2025-03-24,9002557974,,BBMP-TL-BOMM-2020-000130,ENT-00323
BBMP-TL-BOMM-2017-000131,Naveen Medical Solutions,Pharmacy / Medical Retail,"#158, Extension, HSR Layout, Bengaluru Urban, KA - 560102",Ward-174,Bommanahalli,560102,Expired,2017-06-24,2028-04-02,9002573812,,BBMP-TL-BOMM-2017-000131,ENT-00325
