ubid,business_name,risk_score,risk_level,activity_status,last_activity_date,linked_departments,risk_reasons
KA-BLRU-560043-000129,Sri Devices LLP,32,Low,ACTIVE,2025-09-16,BBMP|GST|KSPCB|UDYAM,Manufacturing business has no linked Factories Act record | 2 unresolved/notice complaint signals
KA-BLRU-560058-000296,Veda Apparels Company,32,Low,ACTIVE,2025-11-06,BBMP|KSPCB|LABOUR,Manufacturing business has no linked Factories Act record | No linked GST registry signal | 1 unresolved/notice complaint signals
KA-MYS-570018-000179,Sree Associates,31,Low,ACTIVE,2026-04-04,GST|KSPCB|UDYAM,Manufacturing business has no linked Factories Act record | 2 unresolved/notice complaint signals
KA-BLRU-560076-000181,Srinidhi Injection Enterprises,31,Low,ACTIVE,2026-04-30,BBMP|FACTORY|KSPCB,No linked GST registry signal | 2 unresolved/notice complaint signals
KA-BLRU-560029-000261,Veda Print Enterprises,31,Low,ACTIVE,2024-08-16,FACTORY|GST|KSPCB|SHOP|UDYAM,No compliance activity for more than 18 months | 1 unresolved/notice complaint signals
KA-BLRR-562114-000262,Meghana Spices LLP,31,Low,ACTIVE,2026-03-05,BBMP|KSPCB|SHOP|UDYAM,Manufacturing business has no linked Factories Act record | No linked GST registry signal
KA-BLRU-560058-000270,Ananya Cafe Enterprises,31,Low,DORMANT,2025-02-25,BBMP|GST|LABOUR|SHOP,No compliance activity in the last 12 months | Dormant status inferred from event stream
KA-MYS-570001-000131,Aditya Systems LLP,30,Low,ACTIVE,2025-09-29,KSPCB|UDYAM,Manufacturing business has no linked Factories Act record | No linked GST registry signal
KA-BLRU-560001-000186,Nisarga Enterprises,30,Low,ACTIVE,2025-11-24,BBMP|FACTORY|LABOUR|SHOP|UDYAM,Manufacturing business has no linked KSPCB consent record | No linked GST registry signal
KA-BLRU-560066-000241,Mysore Biryani Associates,30,Low,ACTIVE,2025-11-06,GST|KSPCB|LABOUR|SHOP,3 unresolved/notice complaint signals
KA-BLRR-561203-000294,Nandi Tools Co,30,Low,ACTIVE,2026-04-06,BBMP|FACTORY|LABOUR|UDYAM,Manufacturing business has no linked KSPCB consent record | No linked GST registry signal
KA-BLRU-560100-000300,Varun Systems Solutions,30,Low,ACTIVE,2025-12-11,FACTORY|GST|KSPCB|SHOP|UDYAM,3 unresolved/notice complaint signals
KA-BLRU-560100-000014,Siddhi Industrial Industries,29,Low,ACTIVE,2026-01-19,BBMP|FACTORY|KSPCB|LABOUR|SHOP|UDYAM,No linked GST registry signal | 2 unresolved/notice complaint signals
KA-BLRU-560076-000122,Aarohi Apparels Company,29,Low,ACTIVE,2026-01-31,FACTORY|LABOUR|SHOP|UDYAM,Manufacturing business has no linked KSPCB consent record | No linked GST registry signal
KA-MYS-570001-000138,Meghana Meals Industries,29,Low,DORMANT,2024-12-13,BBMP|GST|SHOP,No compliance activity in the last 12 months | Dormant status inferred from event stream
KA-BLRU-560068-000174,Bharath Medical Solutions,29,Low,DORMANT,2025-06-07,BBMP|LABOUR|SHOP,No linked GST registry signal | Dormant status inferred from event stream
KA-BLRU-560066-000194,Nisarga Trans Works,29,Low,DORMANT,2025-01-23,GST|SHOP,No compliance activity in the last 12 months | Dormant status inferred from event stream
KA-BLRU-560076-000293,Siddhi Works Enterprises,29,Low,ACTIVE,2025-09-26,FACTORY|GST|KSPCB|LABOUR|SHOP|UDYAM,3 unresolved/notice complaint signals
KA-MYS-570016-000303,Prakruthi Stores LLP,29,Low,DORMANT,2025-05-02,LABOUR|UDYAM,No linked GST registry signal | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560058-000164,Sahana Kitchen Solutions,28,Low,ACTIVE,2025-09-19,BBMP|FACTORY|GST|SHOP,Manufacturing business has no linked KSPCB consent record | 1 unresolved/notice complaint signals
KA-BLRR-562114-000183,Ravi Agro Associates,28,Low,ACTIVE,2025-08-23,KSPCB|SHOP,Manufacturing business has no linked Factories Act record | No linked GST registry signal
KA-BLRU-560068-000197,Prakruthi Bites Company,28,Low,ACTIVE,2026-04-18,BBMP|GST,3 unresolved/notice complaint signals
KA-MYS-570001-000208,Sahana Warehouse Traders,28,Low,DORMANT,2024-11-23,GST|SHOP|UDYAM,No compliance activity in the last 12 months | Dormant status inferred from event stream
KA-BLRU-560037-000073,Srinidhi Company,27,Low,ACTIVE,2024-09-12,FACTORY|GST|KSPCB|SHOP|UDYAM,No compliance activity for more than 18 months
KA-TUM-572106-000159,Bangalore Machining Co,27,Low,ACTIVE,2025-04-01,FACTORY|GST|KSPCB|LABOUR|UDYAM,No compliance activity in the last 12 months | 1 unresolved/notice complaint signals
KA-BLRU-560102-000182,Sri Pvt Ltd,27,Low,ACTIVE,2026-03-11,FACTORY|GST|LABOUR|SHOP|UDYAM,Manufacturing business has no linked KSPCB consent record | 1 unresolved/notice complaint signals
KA-MYS-570016-000223,Varun Mold LLP,27,Low,ACTIVE,2026-03-19,FACTORY|KSPCB|LABOUR|SHOP|UDYAM,No linked GST registry signal | 2 unresolved/notice complaint signals
KA-BLRU-560085-000237,Sharma Print Enterprises,27,Low,ACTIVE,2025-11-20,GST|KSPCB|SHOP|UDYAM,Manufacturing business has no linked Factories Act record | 1 unresolved/notice complaint signals
KA-MYS-570016-000028,Bangalore Solutions,26,Low,ACTIVE,2026-04-24,BBMP|SHOP,No linked GST registry signal | 2 unresolved/notice complaint signals
KA-BLRU-560037-000054,Srinidhi Milling Traders,26,Low,ACTIVE,2025-10-07,GST|KSPCB|SHOP|UDYAM,Manufacturing business has no linked Factories Act record | 1 unresolved/notice complaint signals
KA-BLRU-560058-000081,Meghana Wear Traders,26,Low,ACTIVE,2026-03-30,BBMP|FACTORY|GST|LABOUR|SHOP|UDYAM,Manufacturing business has no linked KSPCB consent record
KA-BLRU-560066-000226,Sree Tools LLP,26,Low,ACTIVE,2026-01-22,GST|KSPCB|LABOUR|UDYAM,Manufacturing business has no linked Factories Act record | 1 unresolved/notice complaint signals
KA-BLRR-562110-000135,Kaveri Textiles Enterprises,25,Low,ACTIVE,2026-03-05,FACTORY|GST|LABOUR|SHOP,Manufacturing business has no linked KSPCB consent record | 1 unresolved/notice complaint signals
KA-BLRU-560029-000188,Lakshmi Solvents Company,25,Low,ACTIVE,2025-12-20,FACTORY|GST|LABOUR|UDYAM,Manufacturing business has no linked KSPCB consent record
KA-BLRU-560102-000023,Sri Devices Solutions,24,Low,ACTIVE,2025-08-18,BBMP|FACTORY|GST|LABOUR|SHOP|UDYAM,Manufacturing business has no linked KSPCB consent record | 1 unresolved/notice complaint signals
KA-BLRU-560100-000083,Nandi Electronics Solutions,24,Low,ACTIVE,2025-10-10,FACTORY|GST|SHOP|UDYAM,Manufacturing business has no linked KSPCB consent record
KA-BLRU-560064-000084,Veda Kitchen Industries,24,Low,ACTIVE,2025-07-14,BBMP|SHOP,No linked GST registry signal | 1 unresolved/notice complaint signals
KA-BLRU-560076-000118,Prakruthi Electronics Industries,24,Low,ACTIVE,2026-04-27,FACTORY|GST|SHOP|UDYAM,Manufacturing business has no linked KSPCB consent record | 1 unresolved/notice complaint signals
KA-BLRU-560076-000011,Naveen Fashions Traders,23,Low,ACTIVE,2025-11-23,FACTORY|GST|LABOUR|SHOP|UDYAM,Manufacturing business has no linked KSPCB consent record
KA-BLRU-560043-000058,Siddhi Systems LLP,23,Low,ACTIVE,2026-04-04,GST|KSPCB|LABOUR|SHOP|UDYAM,Manufacturing business has no linked Factories Act record | 1 unresolved/notice complaint signals
KA-BLRU-560043-000100,Srinidhi Traders,23,Low,ACTIVE,2025-11-14,BBMP|GST|KSPCB,Manufacturing business has no linked Factories Act record | 1 unresolved/notice complaint signals
KA-BLRU-560024-000172,Asha Solutions,23,Low,ACTIVE,2025-10-22,GST|KSPCB|LABOUR|SHOP,Manufacturing business has no linked Factories Act record
KA-BLRU-560066-000184,Varun Components LLP,23,Low,ACTIVE,2025-11-10,FACTORY|GST|LABOUR|SHOP|UDYAM,Manufacturing business has no linked KSPCB consent record
KA-BLRU-560059-000285,Ananya Chem Industries,23,Low,ACTIVE,2025-09-08,GST|KSPCB|LABOUR|UDYAM,Manufacturing business has no linked Factories Act record
KA-BLRU-560066-000321,Asha Packaging Enterprises,23,Low,ACTIVE,2025-10-12,FACTORY|GST|SHOP,Manufacturing business has no linked KSPCB consent record
KA-BLRU-560102-000035,Kaveri Components Pvt Ltd,22,Low,ACTIVE,2025-12-15,GST|KSPCB|SHOP|UDYAM,Manufacturing business has no linked Factories Act record
KA-BLRU-560024-000039,Nisarga Industrial Co,22,Low,ACTIVE,2025-09-12,FACTORY|KSPCB,No linked GST registry signal | 1 unresolved/notice complaint signals
KA-BLRU-560043-000049,Omkar Pvt Ltd,22,Low,ACTIVE,2026-05-03,FACTORY|GST|KSPCB|LABOUR|SHOP|UDYAM,2 unresolved/notice complaint signals
KA-TUM-572106-000076,Bangalore Coatings Co,22,Low,ACTIVE,2025-08-14,FACTORY|KSPCB,No linked GST registry signal | 1 unresolved/notice complaint signals
KA-BLRU-560043-000116,Prakruthi Packaging Industries,22,Low,ACTIVE,2025-08-28,GST|KSPCB|LABOUR|SHOP|UDYAM,Manufacturing business has no linked Factories Act record
KA-MYS-570016-000127,Omkar Graphics Industries,22,Low,ACTIVE,2026-03-04,GST|KSPCB|LABOUR,Manufacturing business has no linked Factories Act record
KA-TUM-572106-000171,Vijaya Fashions Works,22,Low,ACTIVE,2025-08-11,BBMP|FACTORY|GST|LABOUR|SHOP|UDYAM,Manufacturing business has no linked KSPCB consent record
KA-BLRU-560024-000210,Lakshmi Electronics LLP,22,Low,ACTIVE,2026-03-30,GST|KSPCB|SHOP|UDYAM,Manufacturing business has no linked Factories Act record | 1 unresolved/notice complaint signals
KA-BLRR-562110-000247,Kaveri Associates,22,Low,ACTIVE,2025-10-14,GST|KSPCB|SHOP|UDYAM,Manufacturing business has no linked Factories Act record
KA-MYS-570016-000282,Omkar Coatings Pvt Ltd,22,Low,ACTIVE,2026-01-23,GST|KSPCB|LABOUR|UDYAM,Manufacturing business has no linked Factories Act record | 1 unresolved/notice complaint signals
KA-BLRU-560064-000315,Kaveri Coatings Solutions,22,Low,ACTIVE,2025-11-24,FACTORY|GST|KSPCB|LABOUR|UDYAM,2 unresolved/notice complaint signals
KA-BLRU-560100-000047,Nandi Solvents LLP,21,Low,ACTIVE,2026-04-27,FACTORY|GST|KSPCB|LABOUR,2 unresolved/notice complaint signals
KA-BLRU-560034-000272,Ganesh Care Company,21,Low,ACTIVE,2026-02-08,BBMP|GST|SHOP|UDYAM,3 unresolved/notice complaint signals
KA-BLRR-562114-000037,Kaveri Cafe LLP,20,Low,ACTIVE,2025-11-05,FACTORY|GST|SHOP,2 unresolved/notice complaint signals
KA-BLRU-560059-000069,Ravi Health Traders,20,Low,ACTIVE,2025-08-30,BBMP,No linked GST registry signal | 1 unresolved/notice complaint signals
KA-BLRU-560058-000091,Sharma Stitch Enterprises,20,Low,ACTIVE,2026-04-29,BBMP|FACTORY|GST|SHOP|UDYAM,Manufacturing business has no linked KSPCB consent record
KA-BLRU-560068-000190,Veda Meds Works,20,Low,ACTIVE,2025-07-02,BBMP|LABOUR|SHOP,No linked GST registry signal | 1 unresolved/notice complaint signals
KA-BLRR-562157-000206,Veda Associates,20,Low,ACTIVE,2025-09-01,FACTORY|GST|LABOUR|SHOP|UDYAM,Manufacturing business has no linked KSPCB consent record
KA-BLRR-562114-000256,Navya Mold LLP,20,Low,ACTIVE,2025-07-09,FACTORY|KSPCB|LABOUR|SHOP|UDYAM,No linked GST registry signal | 1 unresolved/notice complaint signals
KA-MYS-570001-000263,Aditya Polymers Associates,20,Low,ACTIVE,2025-09-23,FACTORY|GST|KSPCB|LABOUR|SHOP,2 unresolved/notice complaint signals
KA-BLRU-560102-000266,Sree Print Co,20,Low,ACTIVE,2025-12-31,BBMP|FACTORY|GST|KSPCB|SHOP|UDYAM,2 unresolved/notice complaint signals
KA-BLRU-560078-000304,Naveen Kitchen Pvt Ltd,20,Low,ACTIVE,2026-04-27,BBMP|SHOP,No linked GST registry signal | 1 unresolved/notice complaint signals
KA-BLRU-560034-000316,Ganesh Coatings LLP,20,Low,ACTIVE,2026-03-06,FACTORY|KSPCB|LABOUR,No linked GST registry signal | 1 unresolved/notice complaint signals
KA-BLRU-560001-000113,Harsha Tools Associates,19,Low,ACTIVE,2025-10-11,FACTORY|KSPCB|LABOUR|SHOP,No linked GST registry signal | 1 unresolved/notice complaint signals
KA-BLRU-560058-000114,Nandi Bakery Pvt Ltd,19,Low,ACTIVE,2026-03-31,BBMP|FACTORY|GST|SHOP,Manufacturing business has no linked KSPCB consent record
KA-MYS-570016-000147,Siddhi Supply LLP,19,Low,ACTIVE,2026-02-03,BBMP|GST|LABOUR,2 unresolved/notice complaint signals
KA-BLRU-560085-000221,Lakshmi Works,19,Low,ACTIVE,2026-04-29,BBMP|FACTORY|GST|LABOUR|SHOP|UDYAM,2 unresolved/notice complaint signals
KA-TUM-572101-000231,Veda LLP,19,Low,ACTIVE,2025-09-22,GST|LABOUR|SHOP,2 unresolved/notice complaint signals
KA-BLRU-560076-000259,Veda Logistics Works,19,Low,ACTIVE,2026-04-18,BBMP|LABOUR|SHOP,No linked GST registry signal | 1 unresolved/notice complaint signals
KA-BLRR-562110-000030,Bharath Garments Traders,18,Low,ACTIVE,2026-02-20,FACTORY|GST|LABOUR|SHOP|UDYAM,Manufacturing business has no linked KSPCB consent record
KA-BLRU-560085-000074,Kaveri Labels Traders,18,Low,ACTIVE,2025-09-29,BBMP|FACTORY|KSPCB,No linked GST registry signal | 1 unresolved/notice complaint signals
KA-MYS-570016-000089,Bangalore Works,18,Low,ACTIVE,2025-09-19,FACTORY|GST|LABOUR,Manufacturing business has no linked KSPCB consent record
KA-BLRU-560100-000137,Omkar Agro Co,18,Low,ACTIVE,2025-11-22,GST|KSPCB|SHOP|UDYAM,Manufacturing business has no linked Factories Act record
KA-BLRU-560085-000156,Mysore Industries,18,Low,ACTIVE,2025-10-26,GST|KSPCB|LABOUR|SHOP|UDYAM,Manufacturing business has no linked Factories Act record
KA-BLRU-560059-000228,Kaveri Print Company,18,Low,ACTIVE,2026-02-16,FACTORY|GST|SHOP|UDYAM,Manufacturing business has no linked KSPCB consent record
KA-BLRU-560068-000002,Vijaya Associates,17,Low,ACTIVE,2026-04-04,FACTORY|GST|UDYAM,Manufacturing business has no linked KSPCB consent record
KA-BLRU-560024-000167,Asha Labs Solutions,17,Low,ACTIVE,2026-04-21,GST|KSPCB,Manufacturing business has no linked Factories Act record
KA-BLRU-560034-000227,Harsha LLP,17,Low,ACTIVE,2025-12-06,GST|KSPCB|LABOUR,Manufacturing business has no linked Factories Act record
KA-BLRU-560066-000260,Siddhi Packaging Enterprises,17,Low,ACTIVE,2026-01-29,GST|KSPCB|SHOP,Manufacturing business has no linked Factories Act record
KA-BLRU-560066-000264,Veda Coatings Solutions,17,Low,ACTIVE,2025-07-27,FACTORY|GST|KSPCB|UDYAM,2 unresolved/notice complaint signals
KA-BLRU-560068-000080,Meghana Coatings Traders,16,Low,DORMANT,2025-05-13,FACTORY|GST|KSPCB|LABOUR,Dormant status inferred from event stream
KA-BLRU-560068-000140,Omkar Agro Company,16,Low,ACTIVE,2025-12-23,FACTORY|KSPCB|SHOP|UDYAM,No linked GST registry signal
KA-BLRU-560078-000238,Kaveri Components Enterprises,16,Low,ACTIVE,2026-05-02,GST|KSPCB|SHOP|UDYAM,Manufacturing business has no linked Factories Act record
KA-BLRU-560059-000005,Sharma Coatings Co,15,Low,ACTIVE,2026-02-13,GST|KSPCB|LABOUR|SHOP|UDYAM,Manufacturing business has no linked Factories Act record
KA-BLRU-560037-000277,Bharath Clinic Associates,15,Low,ACTIVE,2026-02-05,BBMP|SHOP,No linked GST registry signal
KA-BLRU-560059-000025,Harsha Biryani Works,14,Low,ACTIVE,2026-05-02,BBMP|FACTORY|LABOUR|SHOP,No linked GST registry signal | 1 unresolved/notice complaint signals
KA-BLRU-560059-000124,Sahana Works Company,14,Low,ACTIVE,2026-02-05,FACTORY|KSPCB|LABOUR|SHOP|UDYAM,No linked GST registry signal
KA-BLRR-562157-000142,Lakshmi Pharma Works,14,Low,ACTIVE,2025-10-08,BBMP|SHOP,No linked GST registry signal
KA-BLRU-560076-000145,Veda Works,14,Low,ACTIVE,2026-05-04,GST|KSPCB|LABOUR|SHOP,Manufacturing business has no linked Factories Act record
KA-BLRU-560059-000157,Naveen Coatings Co,14,Low,ACTIVE,2025-10-09,FACTORY|GST|KSPCB|SHOP|UDYAM,2 unresolved/notice complaint signals
KA-MYS-570001-000169,Asha Bakery Co,14,Low,ACTIVE,2026-04-24,GST|KSPCB|UDYAM,Manufacturing business has no linked Factories Act record
KA-BLRU-560059-000192,Navya Solvents Pvt Ltd,14,Low,ACTIVE,2026-04-30,BBMP|FACTORY|GST|KSPCB|LABOUR|SHOP,1 unresolved/notice complaint signals
KA-BLRU-560024-000295,Lakshmi Kitchen Pvt Ltd,14,Low,ACTIVE,2026-03-29,BBMP|GST|SHOP|UDYAM,1 unresolved/notice complaint signals
KA-BLRU-560085-000110,Sharma Chem LLP,13,Low,ACTIVE,2024-11-05,FACTORY|GST|KSPCB|LABOUR|UDYAM,No compliance activity in the last 12 months
KA-BLRU-560102-000121,Sree Clinic Industries,13,Low,ACTIVE,2026-05-01,BBMP|FACTORY|GST|SHOP,1 unresolved/notice complaint signals
KA-MYS-570001-000141,Nisarga Packaging Traders,13,Low,ACTIVE,2026-02-21,FACTORY|GST|KSPCB|LABOUR|UDYAM,2 unresolved/notice complaint signals
KA-BLRU-560024-000173,Nisarga Trans Enterprises,13,Low,ACTIVE,2026-05-03,BBMP|FACTORY|GST|KSPCB|LABOUR,1 unresolved/notice complaint signals
KA-BLRU-560068-000252,Sree Pharma Pvt Ltd,13,Low,ACTIVE,2025-11-01,BBMP|GST|SHOP|UDYAM,1 unresolved/notice complaint signals
KA-BLRU-560064-000257,Siddhi Enterprises,13,Low,ACTIVE,2026-04-23,BBMP|FACTORY|SHOP,No linked GST registry signal
KA-BLRU-560064-000286,Harsha Works,13,Low,ACTIVE,2025-09-03,FACTORY|GST|KSPCB|LABOUR|SHOP|UDYAM,1 unresolved/notice complaint signals
KA-BLRU-560102-000325,Naveen Medical Solutions,13,Low,ACTIVE,2025-12-12,BBMP|GST|LABOUR|SHOP|UDYAM,2 unresolved/notice complaint signals
KA-BLRU-560085-000038,Meghana Bites Associates,12,Low,ACTIVE,2026-04-18,GST|SHOP|UDYAM,1 unresolved/notice complaint signals
KA-BLRR-562114-000274,Omkar Cafe Industries,12,Low,ACTIVE,2026-04-13,BBMP|GST|SHOP,2 unresolved/notice complaint signals
KA-BLRU-560102-000007,Sree Logistics Pvt Ltd,11,Low,ACTIVE,2025-12-06,SHOP,No linked GST registry signal
KA-BLRU-560068-000158,Omkar Labs Co,11,Low,ACTIVE,2025-10-01,BBMP|FACTORY|GST|KSPCB,1 unresolved/notice complaint signals
KA-TUM-572106-000310,Sree Tech Associates,11,Low,ACTIVE,2025-08-29,FACTORY|GST|KSPCB|LABOUR,1 unresolved/notice complaint signals
KA-BLRU-560059-000053,Harsha Packaging Enterprises,10,Low,ACTIVE,2026-04-04,FACTORY|KSPCB|LABOUR|SHOP|UDYAM,No linked GST registry signal
KA-TUM-572101-000063,Lakshmi Graphics Works,10,Low,ACTIVE,2026-04-12,FACTORY|GST|KSPCB,1 unresolved/notice complaint signals
KA-BLRU-560064-000144,Varun Meals Solutions,10,Low,ACTIVE,2026-04-22,BBMP|GST|SHOP,1 unresolved/notice complaint signals
KA-BLRR-562110-000320,Navya Industrial Co,10,Low,ACTIVE,2025-09-17,FACTORY|GST|KSPCB|LABOUR,1 unresolved/notice complaint signals
KA-BLRR-561203-000016,Nandi Trans Solutions,9,Low,ACTIVE,2026-04-22,GST|LABOUR|SHOP,1 unresolved/notice complaint signals
KA-BLRR-562114-000060,Veda Stitch LLP,9,Low,ACTIVE,2025-09-06,BBMP|FACTORY|GST|KSPCB|LABOUR|SHOP|UDYAM,1 unresolved/notice complaint signals
KA-BLRU-560076-000088,Bharath Biryani Pvt Ltd,9,Low,ACTIVE,2025-12-23,BBMP|KSPCB|SHOP,No linked GST registry signal
KA-BLRU-560058-000195,Meghana Moulding Industries,9,Low,ACTIVE,2026-03-14,FACTORY|GST|KSPCB|LABOUR|SHOP|UDYAM,1 unresolved/notice complaint signals
KA-BLRU-560029-000217,Siddhi Industries,9,Low,ACTIVE,2025-06-11,FACTORY|GST|KSPCB|LABOUR|UDYAM,1 unresolved/notice complaint signals
KA-BLRU-560024-000123,Nisarga Industrial Co,8,Low,ACTIVE,2026-04-16,BBMP|GST|KSPCB|SHOP,1 unresolved/notice complaint signals
KA-BLRU-560102-000031,Mysore Enterprises,7,Low,ACTIVE,2026-03-01,FACTORY|GST|KSPCB|LABOUR|SHOP|UDYAM,1 unresolved/notice complaint signals
KA-BLRR-561203-000032,Omkar LLP,7,Low,ACTIVE,2025-11-14,GST|LABOUR|SHOP,1 unresolved/notice complaint signals
KA-BLRR-562114-000099,Mysore Cargo Solutions,7,Low,ACTIVE,2026-02-18,BBMP|GST|LABOUR|SHOP|UDYAM,1 unresolved/notice complaint signals
KA-BLRU-560102-000111,Naveen Polymers Solutions,7,Low,ACTIVE,2025-08-19,FACTORY|GST|KSPCB|LABOUR|UDYAM,1 unresolved/notice complaint signals
KA-MYS-570018-000178,Kaveri Meds Associates,7,Low,ACTIVE,2026-02-28,BBMP|GST|SHOP,1 unresolved/notice complaint signals
KA-BLRU-560076-000224,Ravi Logistics Solutions,7,Low,ACTIVE,2026-04-18,GST|LABOUR|SHOP,1 unresolved/notice complaint signals
KA-BLRU-560085-000246,Ananya Labs Enterprises,7,Low,ACTIVE,2025-09-06,FACTORY|GST|KSPCB,1 unresolved/notice complaint signals
KA-TUM-572106-000275,Harsha Works,7,Low,ACTIVE,2025-08-26,FACTORY|GST|KSPCB|SHOP,1 unresolved/notice complaint signals
KA-BLRU-560043-000287,Prakruthi Packaging Works,7,Low,ACTIVE,2025-11-29,BBMP|GST|LABOUR|SHOP|UDYAM,1 unresolved/notice complaint signals
KA-BLRU-560085-000010,Ganesh Dine LLP,6,Low,ACTIVE,2026-04-21,BBMP|GST|SHOP|UDYAM,Recent compliance activity and sufficient cross-department linkage
KA-MYS-570016-000044,Aarohi Solutions,6,Low,ACTIVE,2026-04-18,BBMP|GST|UDYAM,Recent compliance activity and sufficient cross-department linkage
KA-BLRR-562110-000128,Srinidhi Co,6,Low,ACTIVE,2025-11-19,BBMP|GST|LABOUR|SHOP,Recent compliance activity and sufficient cross-department linkage
KA-BLRR-562110-000168,Ganesh Kitchen LLP,6,Low,ACTIVE,2025-07-16,BBMP|GST|SHOP,Recent compliance activity and sufficient cross-department linkage
KA-BLRU-560066-000170,Bharath Spices LLP,6,Low,ACTIVE,2025-11-02,BBMP|FACTORY|GST|KSPCB|LABOUR|SHOP,1 unresolved/notice complaint signals
KA-TUM-572101-000229,Lakshmi Medical LLP,6,Low,ACTIVE,2026-04-24,BBMP|LABOUR|UDYAM,No linked GST registry signal
KA-BLRU-560078-000258,Vijaya Industries Works,6,Low,ACTIVE,2025-11-23,FACTORY|GST|KSPCB|LABOUR|UDYAM,Recent compliance activity and sufficient cross-department linkage
KA-BLRU-560066-000268,Vijaya Moulding Solutions,6,Low,ACTIVE,2025-12-04,FACTORY|GST|KSPCB|LABOUR|SHOP|UDYAM,Recent compliance activity and sufficient cross-department linkage
KA-BLRU-560029-000276,Omkar Mold Traders,6,Low,ACTIVE,2026-03-19,FACTORY|GST|KSPCB|LABOUR|SHOP|UDYAM,Recent compliance activity and sufficient cross-department linkage
KA-BLRU-560029-000095,Deccan Packaging Traders,5,Low,ACTIVE,2026-04-28,FACTORY|GST|KSPCB|SHOP,1 unresolved/notice complaint signals
KA-BLRU-560100-000104,Navya Printers Traders,5,Low,ACTIVE,2025-09-29,BBMP|FACTORY|GST|KSPCB|LABOUR|SHOP,Recent compliance activity and sufficient cross-department linkage
KA-BLRU-560064-000215,Ananya Resins Industries,5,Low,ACTIVE,2026-04-21,FACTORY|GST|KSPCB|LABOUR,Recent compliance activity and sufficient cross-department linkage
KA-BLRU-560058-000255,Sharma LLP,5,Low,ACTIVE,2026-02-20,BBMP|FACTORY|GST|KSPCB|LABOUR,1 unresolved/notice complaint signals
KA-BLRU-560085-000319,Ganesh Medical Solutions,5,Low,ACTIVE,2025-11-30,BBMP|GST|LABOUR|SHOP|UDYAM,1 unresolved/notice complaint signals
KA-BLRR-562114-000009,Srinidhi Trans Works,4,Low,ACTIVE,2025-12-07,GST|KSPCB|SHOP,Recent compliance activity and sufficient cross-department linkage
KA-BLRU-560066-000018,Mysore Mold Solutions,4,Low,ACTIVE,2026-04-29,BBMP|FACTORY|GST|KSPCB|SHOP|UDYAM,1 unresolved/notice complaint signals
KA-BLRR-562110-000019,Veda Coatings Works,4,Low,ACTIVE,2026-03-29,FACTORY|GST|KSPCB|SHOP,Recent compliance activity and sufficient cross-department linkage
KA-BLRU-560034-000064,Veda Devices Co,4,Low,ACTIVE,2026-03-27,FACTORY|GST|KSPCB|LABOUR|SHOP|UDYAM,1 unresolved/notice complaint signals
KA-BLRU-560102-000176,Siddhi Warehouse Solutions,4,Low,ACTIVE,2026-05-02,BBMP|GST|UDYAM,1 unresolved/notice complaint signals
KA-BLRR-562157-000232,Aditya Tech Enterprises,4,Low,ACTIVE,2026-03-17,FACTORY|GST|KSPCB|LABOUR,1 unresolved/notice complaint signals
KA-BLRU-560001-000243,Sharma Moulding Industries,4,Low,ACTIVE,2025-10-11,FACTORY|GST|KSPCB|UDYAM,Recent compliance activity and sufficient cross-department linkage
KA-BLRU-560058-000248,Veda Precision Company,4,Low,ACTIVE,2026-04-11,FACTORY|GST|KSPCB|LABOUR|UDYAM,Recent compliance activity and sufficient cross-department linkage
KA-MYS-570016-000280,Nandi Meals Enterprises,4,Low,ACTIVE,2026-04-30,BBMP|GST|SHOP,Recent compliance activity and sufficient cross-department linkage
KA-BLRU-560102-000093,Kaveri Systems Pvt Ltd,3,Low,ACTIVE,2026-04-02,BBMP|FACTORY|GST|KSPCB|LABOUR|UDYAM,Recent compliance activity and sufficient cross-department linkage
KA-MYS-570001-000133,Sri Moulding Works,3,Low,ACTIVE,2025-09-23,FACTORY|GST|KSPCB|SHOP,Recent compliance activity and sufficient cross-department linkage
KA-BLRU-560078-000324,Varun Industries,3,Low,ACTIVE,2026-04-26,FACTORY|GST|KSPCB|SHOP,Recent compliance activity and sufficient cross-department linkage
KA-MYS-570001-000013,Mysore Bites Works,2,Low,ACTIVE,2025-10-16,BBMP|GST|SHOP,Recent compliance activity and sufficient cross-department linkage
KA-BLRU-560059-000055,Bharath Machining Company,2,Low,ACTIVE,2026-04-23,FACTORY|GST|KSPCB|LABOUR|SHOP,Recent compliance activity and sufficient cross-department linkage
KA-BLRU-560043-000134,Udupi Logistics Company,2,Low,ACTIVE,2025-12-04,GST|LABOUR|UDYAM,Recent compliance activity and sufficient cross-department linkage
KA-BLRU-560066-000249,Deccan Precision Co,2,Low,ACTIVE,2026-01-23,BBMP|FACTORY|GST|KSPCB|SHOP|UDYAM,Recent compliance activity and sufficient cross-department linkage
KA-BLRU-560102-000251,Prakruthi Clinic Pvt Ltd,2,Low,ACTIVE,2026-01-17,BBMP|GST|LABOUR|SHOP,Recent compliance activity and sufficient cross-department linkage
KA-BLRU-560066-000149,Udupi Pharma Works,1,Low,ACTIVE,2026-01-10,GST|LABOUR|SHOP,Recent compliance activity and sufficient cross-department linkage
KA-TUM-572106-000160,Srinidhi Bites Co,1,Low,ACTIVE,2026-01-11,BBMP|GST|LABOUR|SHOP|UDYAM,Recent compliance activity and sufficient cross-department linkage
